dksM la0,fooj.k,bdkbZ,nj
,15-42-2 100 feeh O;kl ds uy,ehVj,64.30
,15-42-3 150 feeh O;kl ds uy,ehVj,66.20
15-43,izHkkjh vfHk;ark ds funsZ”kkuqlkj gkFk/e”khu ls rksM+uk] mi;ksxh eky ds pÍs yxkuk vkSj 50 ehVj dh nwjh rd vuqi;ksxh eky dk fuiVku djus lfgr %,,
,15-43-1 iudqVh iDdh lM+d,oxZ eh-,179.65
,15-43-2 fcVwesuh lM+d,oxZ eh-,353.65
15-44,tLrh yksgs ds uyksa dks [kkbZ [kksndj m[kkM+uk ¼ckgjh dke½ uyksa dks ckgj fudkyus ds ckn [kkbZ dh nqckjk HkjkbZ djuk] uyksa ds 50 ehVj rd dh nwjh rd pÍs yxkus lfgr %,,
,15-44-1 15 feeh ls 40 feeh ukeh; Nsn okys,ehVj,124.10
,15-44-2 40 feeh ls vf/kd ukeh; Nsn okys,ehVj,134.25
15-45,izHkkjh vfHk;ark ds funsZ”kkuqlkj <ys yksgs ds uyksa dks gkFk/e”khu ls [kkbZ [kksndj m[kkM+uk] uyksa dks ckgj fudkyus ds ckn [kkbZ dh nqckjk HkjkbZ djuk] lhls ds Vkadh dqVs tksM+ksa dks rksM+uk] lhls dks fi?kykuk vkSj fi.M cukuk] uyksa ds pÍs dk;ZLFky ij 50 ehVj rd dh nwjh ij yxkus lfgr %,,
,15-45-1 150 feeh O;kl rd,ehVj,340.70
,15-45-2 150 feeh O;kl ls vf/kd 300 feeh O;kl rd,ehVj,448.15
,15-45-3 300 feeh O;kl ls vf/kd,ehVj,583.30
15-46,izHkkjh vfHk;ark ds funsZ”kkuqlkj bLikr csyu izcfyr lhesaV & daØhV uyksa dks gkFk/e”khu ls [kkbZ [kksndj m[kkM+uk] uyksa dks ckgj fudkyus ds ckn [kkbZ dh nqckjk HkjkbZ djuk] lhls ds Vkadh dqVs tksM+ksa dks rksM+uk] lhls dks fi?kykuk vkSj fi.M cukuk] uyksa ds pÍs dk;ZLFky ij 50 ehVj rd dh nwjh ij yxkus lfgr %,,
,15-46-1 600 feeh O;kl rd,ehVj,574.85
,15-46-2 600 feeh O;kl ls vf/kd,ehVj,1447.60
15-47,"izHkkjh vfHk;ark ds funsZ”kkuqlkj ,slcsLVkWl lhesaV nkc uyksa dks gkFk/e”khu ls [kkbZ [kksndj m[kkM+uk] uyksa ds ckgj fudkyus ds ckn [kkbZ dh nqckjk HkjkbZ djuk] 50 ehVj rd dh nwjh ij uyksa ds pÍs yxkuk %",,
,15-47-1 150 feeh O;kl rd,ehVj,273.80
,15-47-2 150 feeh O;kl ls vf/kd,ehVj,332.25
15-48,izHkkjh vfHk;ark ds funsZ”kkuqlkj fofHkUu vkdkjksa ds ujeks[kksa dh izcfyr lhesaV & daØhV dh Åijh Lysc esa ls <ys yksgs ds pkS[kV lfgr gkFk/e”khu ls <Ddu fudkyuk] izcfyr lhesaV daØhV ds dke dks rksM+uk vkSj mi;ksxh eky ds pÍs dk;ZLFky ds lehi yxkus vkSj vuqi;ksxh eky dks 50 ehVj rd dh nwjh ij <sjksa esa fuiVku djus lfgr,izR;sd,576.25
15-49,izHkkjh vfHk;ark ds funsZ”kkuqlkj fofHkUu vkdkjksa ds fujh{k.k dks’Bksa dh izcfyr lhesaV & daØhV dh Åijh LySc esa ls <ys yksgs ds pkS[kV lfgr <Ddu fudkyuk] izcfyr lhesaV & daØhV ds dke dks gkFk/e”khu ls rksM+us vkSj mi;ksxh eky ds pÍs dk;ZLFky ds lehi yxkus vkSj vuqi;ksxh eky dks 50 ehVj rd dh nwjh ij uxjikfydk ds <sj esa fuiVku djus lfgr,izR;sd,336.25
15-50,izcfyr lhesaV & daØhV ds Hkzfe fof/k ls <ys fudkl LrEHk m[kkM+uk] lhesaV & daØhV ds xM+<s dh iwjh rjg ls [kksnuk] LrEHk dks ckgj fudkyuk] [kksnh gqbZ txg dh nqckjk HkjkbZ djuk vkSj mi;ksxh eky ds dk;ZLFky ds lehi pÍs yxkuk,,
,vkSj vuqi;ksxh eky dk 50 ehVj rd dh nwjh ij fuiVku djus lfgr rksM+us,izR;sd,3817.90
15-51,<ys yksgs dh tkyh pkS[kV lfgr fofHkUu vkdkjksa ds lM+d ukyh dksBs rksM+uk] mi;ksxh eky ds dk;ZLFky ds lehi pÍs yxkuk vkSj vuqi;ksxh eky dk 50 ehVj rd dh nwjh ij fuiVku djus lfgr,izR;sd,791.65
15-52,fdlh vkdkj dh cgko Vadh dks m[kkM+uk vkSj mi;ksxh eky dk 50 ehVj rd dh nwjh ij fuiVku djus lfgr tLrh yksgs@ih-oh-lh-@fofVjl pkbuk rFkk mi;ksZxh eky dh dk;ZLFky ds lehi pV~Vk yxkukA,izR;sd,744.60
15-53,<ys yksgs ds dikV okYo dks m[kkM+uk vkSj mi;ksxh eky ds 50 ehVj rd dh nwjh ij pÍs yxkus lfgr,,
,15-53-1 150 feeh O;kl rd,izR;sd,264.65
,15-53-2 150 feeh O;kl ls vf/kd,izR;sd,976.60
15-54,fLiaMy vkx cEcs dks m[kkM+uk vkSj mi;ksxh eky ds 50 ehVj rd dh nwjh ij pÍs yxkus lfgr %,izR;sd,598.05
15-55,inkZ & nhokj] vk/kkj daØhV lesr pcwrjs dh lhesaV & daØhV dks m[kkM+uk vkSj mi;ksxh eky ds pÍs dk;ZLFky ds lehi pÍs yxkuk vkSj vuqi;ksxh eky dk 50 ehVj rd dh nwjh ij fuiVku djus lfgr %,,
,15-55-1 120x120 lseh ¼ckgjh fdukjs ls ckgjh fdukjs rd½,izR;sd,910.15
,15-55-2 210x120 lseh ¼ckgjh fdukjs ls ckgjh fdukjs rd½,izR;sd,1396.00
,15-55-3 320x120 lseh ¼ckgjh fdukjs ls ckgjh fdukjs rd½,izR;sd,1976.05
15-56,"iqjkuk iyLrj ;k fdukjh rksM+uk] laf/k;ka dqjsnuk vkSj iyLrj ds fy, lrg lkQ djuk] eyck 50 ehVj rd dh nwjh ij {ksi.k & Hkwfe esa Qsadus lfgr %",oxZ eh-,45.05
15-57,",Y;wehfu;e/ftIle foHkktdksa] njoktksa] f[kM+fd;ksa] yxh gqbZ Xysftax vkSj Ñf=e vUr”PNn rksM+uk rFkk vuqi;ksxh] Qkyrw eky dks fuiVkus vkSj mi;ksxh eky dks 50 ehVj rd dh nwjh ij izHkkjh bathfu;j ds funsZ”kkuqlkj pÍs yxkus lfgr",oxZ eh-,46.50
15-58,lhesaV daØhV/izcfyr lhesaV daØhV ds dk;Z dks gkFk/e”khu ls <+kuk] rFkk fufnZ’V LFkkuksa ij mUgsa tek djuk] rksM+h xbZ lkexzh dks 1000 eh dh nwjh ij fuiVku djus mi;ksxh vkSj vuqi;ksxh lkexzh dks vyx & vyx pÍs yxkus] izcyu lfj;ksa dks dkVus lfgr %,?ku eh-,2328.55
15-59,izHkkjh vfHk;ark ds fofunsZ”kkuqlkj uE; dqfÍe ¼fcVqeuh Lrj½ dks e”khu ls rksM+us rFkk rksM+h xbZ lkexzh dks 1000 ehVj dh nwjh rd fuiVku djuk,?ku eh-,347.90
15-60,50 eh0 dh vkajfHkd yhM ls vf/kd vUrxzZLr lHkh mRFkkid lfgr lHkh yhM ds lEcU/k esa izHkkjh vfHk;ark }kjk tSlk vuqeksfnr fd;k x;k gS Hkou fuekZ.k dk;Z dk dwMk djdV@eyck@ leku viz;ksT; fo[kafMr ;k csdkj lkexzh dh ;kaf=d fof/k ls yknuk] <ksuk vkSj vuqeksfnr ukxj [kŸks esa [kkyh dj fuiVkuA,?ku eh-,219.35
