Item No.,Description,Unit,Rate,,
4010,"xeZ rS;kj lhou jfgr izdkj dh uje bLikr ufydk,a",fd-xzk `70.00`,,,
4011,fo,"qr izfrjks/kh ;k izsj.k #ikV >kyh gqbZ uje bLikr dh ufydk,a",fd-xzk `50.00`,,
4012,"Nr ia[ks ds fy, xksykbZnkj <ysa yksgs dk cDlk ftldk vkarfjd O;kl 140 fe-eh-] ÅapkbZ 73 fe-eh-] Åijh <Ddu 1-5 fe-eh- eksVk uje bLikr dk cuk gks",izR;sd `55.00`,,,
4013,f?kjuh 40 fe-eh O;kl dh,izR;sd `35.00`,,,
7029,"tLrh uje rkj bLikr tkyh 1-4 ,e ,e vkSlr pkSM+kbZz o 0-63 ,e ,e O;kl dh",oxZ eh- `250.00`,,,
7044,80x0-90 fe-eh /kfTt;ksa ds fyiVoka fdokMa,oxZ eh- `1300.00`,,,
7045,80x1-2 fe-eh /kfTt;ksa ds fyiVoka fdokMa,oxZ eh- `1375.00`,,,
7046,fyiVoka fdokMa dk 0-90 fe-eh eksVk Åijh vkoj.k,ehVj `450.00`,,,
7047,fyiVoka fdokMa dk 1-20 fe-eh eksVk Åijh vkoj.k,ehVj `560.00`,,,
7068,vfrfjDr Hkqxrku] 8 fe-eh O;kl dh uje bLikr NMksa okys tkyhnkj fyiVoka fdokM+,oxZ eh- `500.00`,,,
8737,LVsuysl LVhy dh lqjk[knkj NM+ xst+ ¼xzsM&304½ 1-4 feeh rFkk 0-50 feeh ds O;kl dh NM+,oxZ eh- `413.00`,,,
9977,<qykbZ,",d eqLr `2.12`",,,
9988,"<qykbZ ,oa fofo/k",",d eqLr `2.12`",,,
9999,fofo/k,",d eq”r `2.12`",,,
10.1,"Structural steel work in single section, fixed with or without connecting plate, including cutting, hoisting, fixing in position and applying a priming coat of approved steel primer all complete.",kg,93.05,,
10.2,"Structural steel work riveted, bolted or welded in built up sections, trusses and framed work, including cutting, hoisting, fixing in position and applying a priming coat of approved steel primer all complete.",kg,111.95,,
10.3,"Providing and fixing in position collapsible steel shutters with vertical channels 20x10x2 mm and braced with flat iron diagonals 20x5 mm size, with top and bottom rail of T-iron 40x40x6 mm, with 40 mm dia steel pulleys, complete with bolts, nuts, locking arrangement, stoppers, handles, including applying a priming coat of approved steel primer.",sqm,9397.35,,
10.4,"Providing and fixing 1 mm thick M.S. sheet sliding-shutters, with frame and diagonal braces of 40x40x6 mm angle iron, 3 mm M.S. gusset plates at the junctions and corners, 25 mm dia pulley, 40x40x6 mm angle and T- iron guide at the top and bottom respectively, including applying a priming coat of approved steel primer",sqm,5374.35,,
10.5,"Providing and fixing 1mm thick M.S. sheet door with frame of 40x40x6 mm angle iron and 3 mm M.S. gusset plates at the junctions and corners, all necessary fittings complete, including applying a priming coat of approved steel primer.",,,,
,10.5.1 Using M.S. angels 40x40x6 mm for diagonal braces,sqm,4781.15,,
,10.5.2 Using flats 30x6mm for diagonal braces and central cross piece,sqm,4615.15,,
10.6,"Supplying and fixing rolling shutters of approved make, made of required size M.S. laths, interlocked together through their entire length and jointed together at the end by end locks, mounted on specially designed pipe shaft with brackets, side guides and arrangements for inside and outside locking with push and pull operation complete, including the cost of providing and fixing necessary 27.5 cm long wire springs manufactured from high tensile steel wire of adequate strength conforming to IS: 4454 - part 1 and M.S. top cover of required thickness for rolling shutters.",,,,
,10.6.1 80x1.25 mm M.S. laths with 1.25 mm thick top cover,sqm,3008.80,,
,10.6.2 80x1.20 mm M.S. laths with 1.20 mm thick top cover,sqm,2868.30,,
,10.6.3 80x0.90 mm M.S. laths with 0.90 mm thick top cover,sqm,2718.90,,
10.7,Providing and fixing ball bearing for rolling shutters.,each,424.20,,
10.8,Extra for providing mechanical device chain and crank operation for operating rolling shutters.,,,,
,10.8.1 Exceeding 10.00 sqm and upto 16.80 sqm in the area,sqm,1108.70,,
,10.8.2 Exceeding 16.80 sqm in area,sqm,1108.70,,
10.9,"Extra for providing grilled rolling shutters manufactured out of 8 mm dia M.S. bar instead of laths as per design approved by Engineer-in- charge, (area of grill to be measured).",sqm,668.95,,
10-1,lajpuk bLikr dk dke] [k.Mksa esa la;kstd iV~Vh dks yxkdj@fcuk yxkdj dkVus] p<kusa] ;FkkLFkku yxkus vkSj vuqeksfnr bLikr vLrj dh vLrj.k rg yxkus lfgr lHkh laiw.kZ,fdxzk-,93-05,,
10-2,lajpuk bLikr dke fjcsVnkj ;k dkcysnkj dke ;k >ykbZ ls tqMh dkV okys [k.Mksa] dSfp;ksa vkSj <kpsankj dke esa dkVus] p<kus] ;FkkLFkku yxkus vkSj vuqeksfnr] bLikr vLrj dh vLrj.k rg yxkus lfgr lHkh laiw.kZ,fdxzk-,111-95,,
10-3,bLikr ds fleVoka dikVksa dh] ftuesa [kMk 20x10x2 fe-eh ukyhdkV yksgk 20x5 feeh iRrh yksgs dh fod.kZ & rkusa] Åij vkSj uhps dh 40x40x6 feeh Vh & dkV iVfj;ka vkSj 40 feeh O;kl okyh bLikr f?kjuh gksa] O;oLFkk djuk vkSj dkcyksa] f<cfj;ksa] rkyk yxkus dh O;oLFkk djuk] vaMkfu;ksa rFkk ewBksa lesr mUgsa yxkuk],,,,
10-4,vuqeksfnr bLikr vLrj dh vLrj.k rg yxkkus lfgr] laiw.kZ 1 feeh eksVh uje bLikr pknj ds ljdoka dikVksa dh] ftuesa 40x40x6 feeh dksfu;k yksgs dk <kapk rFkk fod.kZ & rkusa] tksMks rFkk dksauksa ij 3 feeh eksVh xlSV & ifV~V;k¡ 25 feeh O;kl dh f?kjuh Åij rFkk uhps 40x40x6 feeh dh dze”k% dksfu;k rFkk Vh yksgs dh fu;ked iVfj;ka gks] O;oLFkk djuk vkSj yxkuk] vuqeksfnr bLikr vLrj dh vLrj.k rg yxkus lfgr laiw.kZ,oxZ eh- oxZ eh-,9397-35 5374-35,,
10-5,1 feeh uje bLikr pknj ds fdokMksa dh ftuesa 40x40x6 feeh dksfu;k yksgs dk <k¡pk] tksMksa rFkk dksuksa ij 3 feeh eksVh xlSV & ifV~V;ka] vkSj lHkh vko”;d tqMukjs gksa] O;oLFkk djuk vkSj yxkuk] vuqeksfnr bLikr & vLrj dh vLrj.k rg yxkus lfgr lai.kZ,,,,
,"] w 10-5-1 fod.kZ rkuksa ds fy, uje bLikr dk 40x40x6 feeh dksfu;k yksgk yxkdj 10-5-2 fod.kZ] rkuksa vkSj e/;orhZ vkMs [k.M ds fy, 30x6 feeh iRrh yksgk yxkdj",oxZ eh- oxZ eh-,4781-15 4615-15,,
10-6,"vuqeksfnr fuekZrk ds fyiVoka fdokMksa dh] tks lkjh yEckbZ esa ijLij Qalh gqbZ vkSj fljksa ij] fljk & ik”kksa }kjk tqMh gqbZ uje bLikr dh visf{kr vkdkj dh /kfTt;ka ls cus rFkk fo”ks’k vfHkdYi okys uy n.M ij p<s gks] O;oLFkk djuk vkSj czSadVksa] cxyh fu;ked ukfy;ksa rFkk Hkkhrj ,oa ckgj ls rkyk yxkus dh rFkk Bsydj ,oa [khapdj lapkyu dh O;oLFkk lfgr yxkuk] fyiVoka fdokMksa ds fy, 27-5 lseh yEch xzsM 2 dh rkj & dekuh dh vkSj visf{kr eksVkbZ ds uje bLikr ds Åijh vkoj.k dh O;oLFkk djus vkSj yxkus lfgr 10-6-1 1-25 feeh eksVs Åijh vkoj.k lfgr 80x1-25 feeh dh uje bLikr dh /kfTt;ka",oxZ eh-,3008-80,,
,10-6-2 1-20 feeh eksVs Åijh vkoj.k lfgr 80x1-20 feeh dh uje bLikr dh /kfTt;ka,oxZ eh-,2868-30,,
,10-6-3 0-90 feeh eksVs Åijh vkoj.k lfgr 80x0-90 feeh dh uje bLikr dh /kfTt;ka,oxZ eh-,2718-90,,
10-7,"fyiVoka fdokMksa ds fy, xksyh ykx dh O;oLFkk djuk vkSj yxkuk",izR;sd,424-20,,
10-8,"vfrfjDr Hkqxrku] fyiVoka fdokMksa dks pykus ds fy, ;kaf=d ;qfDr tathj vkSj dzsad izpkyu dh O;oLFkk ds fy, %",,,,
,"10-8-1 10-00 oxZ eh ls vf/kd vkSj 16-80 oxZ eh {ks=Qy rd ds fy,",oxZ eh-,1108-70,,
,"10-8-2 16-80 oxZ eh {ks=Qy ls vf/kd ds fy,",oxZ eh-,1108-70,,
10-9,"vfrfjDr Hkqxrku] tkyhnkj fyiVoka fdokMksa ds fy, tks /kfTt;ksa dh ctk; 8 feeh O;kl dh uje bLikr dh NMksa ls izHkkjh bathfu;j }kjk vuqeksfnr",,,,
,"vfHkdYi ds vuqlkj cus gS ¼tkyh dk {ks=Qy ukik tk,xk½s",oxZ eh-,668-95,,
10-10 10-11 10-12,"nhokjksa esa bLikr ds “kh”ksnkj ekud njokts] f[kMfd;ksa vkSj jks”kunku yxkuk vuqeksfnr fuekZrk dh fo”ks’k /kkrq “kh”kk iksVhu ;k /kkrq & xksVu lfgr fcuk ewY; foHkkx }kjk fn;s tk,axs 10-10-1 lhesaV dadzhV 1%3%6 ¼1 lhesaV % 3 EkksVh jsr % 6 iRFkj dk] 20 fe-eh- ukeh; ukiokyk vuqikfrr feykok½ ds 15x10x10 ls-eh- fiaMdks esa yxh 10 ls-eh- yEch 15x3 fe-eh- yXxksa dks yxkukA 10-10-2 vko”;d O;kl rFkk eki dk dkcZu bLikr v;Ld dk dybZnkj MS”k dhyd yxkuk ¼vyx ls Hkqxrku fd;k tk,xk½A ekud csfYyr bLikr [k.Mksa ls cusa vkSj >kys gq, dyeh tksMksa okys QSDVªh fufeZr Hkk & ek- fpgfur bLikr ds “kh”ksnkj ekud njokts] f[kMfd;ksa vkSj jks”kunku tks fdukjs@”kh’kZ@dsUnz ls Vaxs gq, gksa rFkk ftu ij xksVu yxh gks vkSj ,Q 7 Mh] ,Q 7 ch ds 11 ch vkSj ds 12 ch bR;kfn vo;oksa ls laiw.kZ gks] dh O;oLFkk djuk ;k cU/ ku & fDyiksa ;k dkcyksa vkSj f<cfj;ksa lfgr tSlk vko”;d gks] yxkuk vkSj “kh”kk yxkus okyh fDyiksa ;k vuqeksfnr fuekZrk dh fo”ks’k /kkrq & “kh”kk & xksVu ds lkFk ispkas dh O;oLFkk djus rFkk yxkus vkSj vuqeksfnr bLikr vLrj dh vLrj.k rg & yxkus lfgr] laiw.kZ tSlk fd Lohd`r fMtk;u esa gS] visf{kr dCtksa ;k dhfy;k¡ tSlk vko”;d gks] dks NksMdj /kkrq xksVu ;k vU; tqMukjksa dh ykxr ds vfrfjDr A¼Hkqxrku ds fy, dsoy bLikr ds vo;oksa ds ifjPNsnh Hkkj dks gh ekik tk,xk½ 10-11-1 lhesaV dadzhV 1%3%6 ¼1 lhesaV % 3 EkksVh jsr % 6 iRFkj dk] 20 fe-eh- ukeh; ukiokyk vuqikfrr feykok½ ds 15x10x10 ls-eh- fiaMdks esa yxh 10 ls-eh- yEch 15x3 fe-eh- yXxksa dks yxkukA 10-11-2 vko”;d O;kl rFkk eki dk dkcZu bLikr v;Ld dk dybZnkj MS”k dhyd yxkuk ¼vyx ls Hkqxrku fd;k tk,xk½A vfrfjDr Hkqxrku] bLikr ds njoktksa] f[kMfd;ksa jks”kunkuksa rFkk la;qDr ,dka”kks es vuqeksfnr vkd‘fr vkSj dkVokyh bLikr dh 10x10x1-6 fe-eh- ¼ckDl dh rjg½ uD”ks okyh eki dh xksVu dh O;oLFkk djus rFkk mls “kh”kk yxkus okys fDyiksa vkSj /kkr & “kh”kk & iksVhu ds ctk, ispksa ls yxkus ds fy,%",fdxzk- fdxzk- fdxzk- fdxzk- ehVj,69-35 34-40 175-65 109-15 45-95,,
10-13,"q uje bLikr ds Vh & [k.Mksa ls cus vkSj >kys gq,] dyeh tksMs gq, njoktksa] f[kMfd;ksa vkSj jks”ku nku ds Vh & yksgs ds <kapks dh O;oLFkk djuk vko”;d lVs dCtks vkSj ispksa ds yxkus lfgr vkSj vuqeksfnr bLikr & vLrj dh vLrj.k rg yxkus lfgrA",,,,
,"10-13-1 lhesaV dadzhV 1%3%6 ¼1 lhesaV % 3 EkksVh jsr % 6 iRFkj dk] 20 fe-eh- ukeh; ukiokyk vuqikfrr feykok½ ds 15x10x10 ls-eh- fiaMdks esa yxh 10 ls-eh- yEch 15x3 fe-eh- yXxksa dks yxkukA 10-13-2 vko”;d O;kl rFkk eki dk dkcZu bLikr v;Ld dk dybZnkj MS”k dhyd yxkuk ¼vyx ls Hkxrku fd;k tk,xk½A",fdxzk- fdxzk-,114-65 109-35,,
10-14,"q 1-60 feeh eksVh Hkk-ek- 4351 Lrj dh O;kikfjd uje bLikr dh pknj ls cuk, x, laihfMr% bLikr ds njoktksa ds <kpksa dh O;oLFkk djuk vkSj dCtk }kj i{k] rkyk }kj i{k] “kh’kZ yxkus lfgr vkSj ;fn vko”;drk gks rks 50x25 feeh uje bLikr ds dksfu;ka [k.Mks ds ;k 1-60 feeh laihfMr uje bLikr dh vk/kkj rku & NMksa ds >ys gq, ;k ;kf=d rjhdks ls izR;sd ik[k ij QVs fljs okyh Vsy lfgr leatuh; yXxksa }kjk etcwrh ls ,d lkFk yxs nsgjh lfgr 2-5 feeh eksVs bLikr ds lVs dCts ekVZjxkMksZa lesr] rkyk jxM~ iV~Vh vkSj >Vdk lgks lfgr tSlk fufnZ’V gks vkSj izHkkjh bathfu;j ds funsZ”k ds vuqlkj lrg ds iwoZ mipkj djus ds ckn vuqeksfnr bLikr vLrj dh vLrj.k rg yxkus lfgr%",,,,
10-19,uje bLikr ds xksy idMa & dkcyksa dh] f<cfj;ksa vkSj ok”kj ifV~Vdkvksa lfgr O;oLFkk djuk vkSj yxkuk] laiw.kZ,fdxzk-,88-50,,
10-20,dkcyksa dh] f<cfj;ksa vkSj ok”kjks lfgr O;oLFkk djuk vkSj yxkuk] laiw.kZ,fdxzk-,140-15,,
10-21,uje bLikr ds rjg ds fjcsVks dh O;oLFkk djuk vkSj mUgsa ;FkkLFkku yxkuk,fdxzk-,237-85,,
10-22,xSl IykaV@fo,qr IykV ls >ykbZ djuk vkSj xSl IykaV ds dk;ZLFky vkfn ij ykus dh O;oLFkk ds lkFk] laiw.kZ,Lkseh,3-40,
10-25,"bLikr dk >kyk gqvk dke tqMh dkV okys [kaMks@<kapsnkj dke es dkVus] p<kus] ;FkkLFkku yxkus vkSj lajpuk bLikr vkfn tks Hkh vko”;d gks dk iz;ksx djrs gq, vuqeksfnr bLikr vLrj dh vorj.k rg yxkus lfgr",,,,
,10-25-1 Pkkj[kkus nkj iÍh dk iz;ksx] tgka vko”;d gks lfgr lhf<+;ksa esa [kMifÍ;ksa] iVksa] pkSfd;ksa vkfn lfgr laiw.kZ,fdxzk-,102-25,,
,"10-25-2 tkfy;ksa] <kpksa] jksd NM+ksa] lhf<+;ksa jsfyax] cSØsVksa] QkVdksa vkSj ,sls gh",,,,
,vU; dk;ksZa esa,fdxzk-,142-30,,
10-26,bLikr lh<+h jsfyax] ckyduh jsfyax rFkk lksiku jsfyax esa gFkiÍh dh O;oLFkk djuk vkSj >ykbZ vkfn ls mls yxkuk] vuqeksfnr bLikr vLrj dh vLrj.k rg yxkus lfgr,,,,
,10-26-1 uje bLikr ufydk,fdxzk-,157-15,,
,10-26-2 bZ- vkj- MCy;w ufydk,fdxzk-,150-40,,
