5.33.2,5.33.2.1 Above plinth level Plinth level Concrete of M25 grade with minimum cement,,,,
,content of 330 kg /cum,cum,3.3,,
5.33.2.2,Concrete of M30 grade with minimum cement,,,,
,content of 350 kg /cum,cum,3.50,,
5.33.2.3,Concrete of M35 grade with minimum cement,,,,
,content of 370 kg /cum,cum,3.70,,
5.33.2.4,Concrete of M40 grade with minimum cement,,,,
,content of 390 kg/cum,cum,3.90,,
5.33.2.5,Concrete of M50 grade with minimum cement,,,,
,content of 410 kg/cum,cum,4.10,,
,5.33A P/L Desig permissib 5.33A.1 n mix concrete derived from natural sources with le utilization of Recycled Concrete Aggregate (RCA). Upto Plinth level,,,,
,5.33A.1.1 Concrete of M25 grade with minimum cement content of 330 kg /cum,cum,3.30,,
,5.33A.2 Above plinth level Plinth level,,,,
,5.33A.2.1 Concrete of M25 grade with minimum cement,,,,
,content of 330 kg /cum,cum,3.30,,
5.34,DELETED,,,,
5.34.1,DELETED,,,,
5.34.2,DELETED,,,,
5.34.3,DELETED,,,,
5.36,P/F preca coarse sa stone agg sources) st R.C.C. in waffle units…. 1:1½:3 (1 Cement : 1½ nd (zone-III) derived from natural sources : 3 graded regate 10 mm nominal size derived from natural,cum,4.16*,,
,5.36A P/F preca including Aggregat mm nomi (RCA) up st R.C.C. in waffle units…. 1:1½:3 (1 Cement : 1½ manufactured sand derived from Recycled Concrete e (RCA) upto 20% : 3 graded stone aggregate 10 nal size derived from Recycled Concrete Aggregate to 20%),cum,4.16*,,
5.37,DELETED,,,,
5.40,DELETED,,,,
,* Actual w considera design eight for design mix will be worked out taking into tion the cement requirement as per particular mix,,,,
,No.,,per unit quantity of work(Quintals),,
6.1,Brick w ork in foundation & plinth with non modular bricks.,,,,
6.1.1,Cement mortar 1:4 (1 cement : 4 coarse sand),cum,0.95,,
6.1.2,Cement mortar 1:6 (1 cement : 6 coarse sand),cum,0.625,,
6.2,Brick w ork in foundation & plinth with modular bricks.,,,,
6.2.1,Cement mortar 1:4 (1 cement : 4 coarse sand),cum,0.836,,
6.2.2,Cement mortar 1:6 (1 cement : 6 coarse sand),cum,0.55,,
6.3,Brick w ork with machine moulded perforated bricks.,,,,
6.3.1,With non modular bricks.,cum,0.625,,
6.3.2,With modular bricks.,cum,0.55,,
6.4,Brick w ork in superstructure,,,,
6.4.1,Cement mortar 1:4 (1 cement : 4 coarse sand),cum,0.95,,
6.4.2,Cement mortar 1:6 (1 cement : 6 coarse sand),cum,0.625,,
6.7,Half bri 5 to 7.5 ck masonry in cement mortar (1:3) for closing cavity cm wide in cavity wall.,100 metre,3.86,,
6.8,Brick w ork 7 cm in cement mortar (1:3).,100 sqm,9.23,,
6.9,& Brick w ork in plain & gauged arches in cement mortar (1:3).,cum,1.28,,
6.10,HALF B RICK MASONRY,,,,
6.12,& 6.13 Half bri ck masonry in foundations & plinth and superstructure.,,,,
6.12.1,& 6.13.1 Cement mortar 1:3 (1 cement : 3 coarse sand),100 sqm,14.28,,
6.12.2,& 6.13.2 Cement mortar 1:4 (1 cement : 4 coarse sand),100 sqm,10.64,,
,BRICK TILE WORK,,,,
6.16,Tile bric k masonry in foundation and plinth. :,,,,
6.16.1,Cement mortar 1:4 (1 cement : 4 coarse sand),cum,1.52,,
6.16.2,6.16.2 Cement mortar 1:6 (1 cement : 6 coarse sand),cum,1.00,,
6.17,& Tile bric k masonry with m/c moulded tiles in cement,,,,
6.18,mortar 1:6 (1 cement : 6 coarse sand).,cum,1.00,,
6.20,& Tile bric k masonry with tile bricks in plain/gauged arches,,,,
6.21,work in in cement mortar (1:4).,cum,1.33,,
6.22,Tile bric k masonry work 5 cm thick in cement mortar (1:3).,100 sqm,7.65,,
,No.,,per unit quantity of work(Quintals),,
11.1,Brick on edge flooring.,,,,
11.1.1,1:4 (1 cement : 4 coarse sand),sqm,0.1850,,
11.1.2,1:6 (1cement : 6 coarse sand),sqm,0.1285,,
11.3,Cement concrete flooring 1:2:4.,,,,
11.3.1,40mm thick with 20mm nominal size stone aggregate,sqm,0.17,,
11.4,52 mm t hick cement concrete flooring.,sqm,0.231,,
11.5,62 mm t hick cement concrete flooring.,sqm,0.263,,
11.6,Cement plaster skirting with cement mortar (1:3).,sqm,0.14,,
11.7,Cement concrete pavement with C.C. (1:2:4).,cum,3.20,,
,TERRAZ O FLOORING,,,,
11.9,40 mm t thick ce hick marble chips flooring with under layer 34 mm ment concrete (1:2:4).,,,,
11.9.1,Dark shade pigment with ordinary cement,sqm,0.1695,,
11.9.2,Light shade pigment with white cement,sqm,0.129+0.0405*,,
11.9.3,Medium shade pigment with 50% white cement and 50% ordinary cement,sqm,0.1492+0.0202*,,
11.9.4,White cement without any pigment,sqm,0.129+0.0202*,,
11.9.5,Light shade pigment with ordinary cement,sqm,0.1695,,
11.9.6,Ordinary cement without any pigment,sqm,0.1695,,
11.10,40 mm t thick ce hick marble chips flooring with under layer 31mm ment concrete 1:2:4.,,,,
11.10.1,Dark shade pigment with Ordinary cement,sqm,0.1783,,
11.10.2,Light shade pigment with white cement,sqm,0.1205+0.0578*,,
11.10.3,and 50% Medium shade pigment with 50% white cement ordinary cement,sqm,0.1494+0.0289*,,
11.10.4,White cement without any pigment,sqm,0.1205+0.0578*,,
11.10.5,Light shade pigment with ordinary cement,sqm,0.1783,,
11.10.6,Ordinary cement without any pigment,sqm,0.1783,,
11.11,40 mm t thick ce hick marble chips flooring with under layer 28 mm ment concrete 1:2:4.,,,,
11.11.1,Dark shade pigment with ordinary cement,sqm,0.1907,,
11.11.2,Light shade pigment with white cement,sqm,0.1097+0.081*,,
11.11.3,Medium shade pigment with 50% white cement,,,,
,and 50% ordinary cement,sqm,0.1502+0.0405*,,
,No.,,per unit quantity of work(Quintals),,
11.19.2,"Medium shade using 50% white cement, 50% ordinary cement",sqm,0.0917+0.024*,,
11.19.3,Dark shade using ordinary cement,sqm,0.0939,,
11.19.4,Ordinary cement without any pigment,sqm,0.0939,,
11.20,Chequer foot path red precast cement concrete tiles 22 mm thick in on 20 mm thick bed of cement mortar (1:4).,,,,
11.20.1,Light shade using white cement,sqm,0.1291+0.066*,,
11.20.2,Medium shade using 50% white cement 50% Grey cement,sqm,0.1621+0.033*,,
11.20.3,Dark shade using ordinary cement,sqm,0.1951,,
11.20.4,Ordinary cement without any pigment,sqm,0.1951,,
11.21,Providin tiles. g and fixing 10mm thick acid and or alkali resistant,,,,
11.21.1,In flooring on a bed of 10 mm thick mortar 1:4 (1 acid proof cement : 4 coarse sand),,,,
11.21.1.1,Acid and alkali resistant tile,sqm,0.0786,,
11.21.2,In dado/skirting on 12 mm thick mortar 1:4 (1 acid proof cement : 4 coarse sand),,,,
11.21.2.1,Acid and alkali resistant tile,sqm,0.0862,,
11.22,"Tile wor marble ti k in skirting, risers of steps etc. with 8 mm thick le.",sqm,0.1044,,
,STONE FLOORING,,,,
11.23,Marble s 20 mm t KOTA S tone flooring with 18 mm thick marble stone over hick cement mortar (1:4). TONE FLOORING,sqm,0.13512,,
11.26,Kota sto mortar (1 ne slab flooring over 20 mm thick bed of cement :4).,sqm,0.1491,,
11.27,"Kota sto laid on 1 SAND S ne slabs 20 mm thick in risers of steps, skirting etc. 2 mm (average) thick cement mortar 1:3. TONE FLOORING",sqm,0.1374,,
11.28,40 mm th thick bas ick fine dressed stone flooring over 20 mm (average) e of cement mortar 1:5 with joints finished flush.,sqm,0.0775,,
11.29,40 mm th thick bas mortar 1 ick fine dressed stone flooring over 20 mm (average) e of cement mortar 1:5 including pointing with cement :2.,sqm,0.0931,,
11.30,"40 mm t thick bas buttered hick rubbed stone flooring over 20 mm (average) e of cement mortar 1:5 with joints 3mm thick, side with cement mortar 1:2.",sqm,0.0931,,
,No.,,per unit quantity of,,
,,,work(Quintals),,
,CEMEN T PLASTER (IN FINE SAND),,,,
13.1,12 mm cement plaster:,,,,
13.1.1,1:4 (1 cement : 4 fine sand),100 sqm,5.47,,
13.1.2,1:6 (1 cement : 6 fine sand),100 sqm,3.60,,
13.2,15 mm cement plaster:,,,,
13.2.1,1:4 (1 cement : 4 fine sand),100 sqm,6.54,,
13.2.2,1:6 (1 cement : 6 fine sand),100 sqm,4.30,,
13.3,20 mm cement plaster :,,,,
13.3.1,1:4 (1 cement : 4 fine sand),100 sqm,8.51,,
13.3.2,1:6 (1 cement : 6 fine sand),100 sqm,5.60,,
,CEMEN T PLASTER (IN COARSE SAND),,,,
13.4,12 mm cement plaster :,,,,
13.4.1,1:4 (1 cement : 4 coarse sand),100 sqm,5.47,,
13.4.2,1:6 (1 cement : 6 coarse sand),100 sqm,3.60,,
13.5,15 mm cement plaster :,,,,
13.5.1,1:4 (1 cement : 4 coarse sand),100 sqm,6.54,,
13.5.2,1:6 (1 cement : 6 coarse sand),100 sqm,4.30,,
13.6,20 mm cement plaster :,,,,
13.6.1,1:4 (1 cement : 4 coarse sand),100 sqm,8.51,,
13.6.2,1:6 (1 cement : 6 coarse sand),100 sqm,5.60,,
,CEMEN NEAT C T PLASTER WITH A FLOATING COAT OF EMENT,,,,
13.7,12 mm neat ce cement plaster finished with a floating coat of ment :,,,,
13.7.1,1:3 (1 cement : 3 fine sand),100 sqm,9.54,,
13.7.2,1:4 (1 cement : 4 fine sand),100 sqm,7.67,,
13.8,15 mm neat ce cement plaster finished with a floating coat of ment :,,,,
13.8.1,1:3 (1 cement : 3 fine sand),100 sqm,10.97,,
13.8.2,1:4 (1 cement : 4 fine sand),100 sqm,8.74,,
13.9,Cemen cement t plaster (1:3) finished with a floating coat of neat .,,,,
13.9.1,12 mm Cement Plaster,100 sqm,9.54,,
13.9.2,20 mm Cement Plaster,100 sqm,13.62,,
,No.,,per unit quantity of work(Quintals),,
,17.1/1 Fixing In dian European type W.C. pan.,each,0.05,,
,7.2/17.3,,,,
17.4,Fixing w hite vitreous china urinal basin :,,,,
17.4.1,One urinal basin with 5 litre white P.V.C. automatic flushing cistern,each,0.025,,
17.4.2,Range of two urinal basins with 5 litre white P.V.C. automatic flushing cistern,each,0.04,,
17.4.3,Range of three urinal basins with 10litre white P.V.C. automatic flushing cistern,each,0.067,,
17.4.4,Range of four urinal basins with 10 litre white P.V.C. automatic flushing cistern,each,0.095,,
17.5,Fixing w hite vitreous china flat back half stall urinal :,,,,
17.5.1,Single half stall urinal with 5 litre P.V.C. automatic flushing cistern,each,0.051,,
17.5.2,Range of two half stall urinals with 5 litre P.V.C. automatic flushing cistern,each,0.102,,
17.5.3,Range of three half stall urinals with 10 litre P.V.C. automatic flushing cistern,each,0.153,,
17.5.4,Range of four half stall urinals with 10 litre P.V.C. automatic flushing cistern,each,0.203,,
17.6,Fixing o plate : ne piece construction white vitreous china squatting,,,,
17.6.1,Single squatting plate with 5 litre P.V.C. automatic flushing cistern,each,0.051,,
17.6.2,Range of two squatting plates with 5 litre P.V.C. automatic flushing cistern,each,0.102,,
17.6.3,Range of three squatting plates with 10 litre P.V.C. automatic flushing cistern,each,0.153,,
17.6.4,Range of four squatting plates with 10 litre P.V.C. automatic flushing cistern,each,0.203,,
17.7,Fixing w ash basin with C.I. brackets.,each,0.025,,
17.8,Fixing w hite vitreous china pedestal for wash basin.,each,0.016*,,
17.9,Fixing k itchen sink with C.I. brackets.,each,0.025,,
17.10,Fixing k itchen sink with C.I. brackets.,each,0.025,,
17.11,Fixing k itchen sink with C.I. brackets.,each,0.025,,
17.12,Fixing d raining board with C.I. brackets.,each,0.014,,
,No.,,per unit quantity of work(Quintals),,
19.1,Jointing mortar i glazed stoneware pipes with stiff mixture of cement n the proportion of (1:1).,,,,
19.1.1,100 mm diameter,100 metre,2.17,,
19.1.2,150 mm diameter,100 metre,3.23,,
19.1.3,200 mm diameter,100 metre,4.33,,
19.1.5,250 mm diameter,100 metre,5.40,,
19.1.6,300 mm diameter,100 metre,6.47,,
19.2,Laying c ement concrete (1:5:10) alround S.W. pipes:,,,,
19.2.1,100 mm diameter S.W. pipe,100 metre,19.24,,
19.2.2,150 mm diameter S.W. pipe,100 metre,23.53,,
19.2.3,200 mm diameter S.W. pipe,100 metre,27.43,,
19.2.5,250 mm diameter S.W. pipe,100 metre,31.72,,
19.3,Laying c S.W. pip ement concrete (1:5:10) upto haunches of es:,,,,
19.3.1,100 mm diameter S.W. pipe,100 metre,9.14,,
19.3.2,150 mm diameter S.W. pipe,100 metre,14.82,,
19.3.3,200 mm diameter S.W. pipe,100 metre,17.42,,
19.3.4,250 mm diameter S.W. pipe,100 metre,20.28,,
19.3.5,300 mm diameter S.W. pipe,100 metre,23.40,,
19.4,Providin g and fixing square-mouth S.W. gully trap :,,,,
19.4.1,100x100 mm size P type,each,0.27,,
19.4.2,150 x 100 mm size P type.,each,0.26,,
19.4.3,180x150 mm size P type,each,0.25,,
19.6,P/L NP2 stiff mixt class R.C.C. pipes with collars jointed with ure of cement mortar in the proportion of (1:2):,,,,
19.6.1,100 mm dia. R.C.C. pipe,100 metre,0.50,,
19.6.2,150 mm dia. R.C.C. pipe,100 metre,0.60,,
19.6.3,250 mm dia. R.C.C. pipe,100 metre,0.90,,
19.6.4,300 mm dia. R.C.C. pipe,100 metre,1.10,,
19.6.5,450 mm dia. R.C.C. pipe,100 metre,2.40,,
19.6.6,500 mm dia. R.C.C. pipe,100 metre,2.60,,
19.6.7,600 mm dia. R.C.C. pipe,100 metre,3.20,,
19.6.8,700 mm dia. R.C.C. pipe,100 metre,3.70,,
,No.,,per unit quantity of work(Quintals),,
19.30.2,Inside dimensions 500x700 mm and 45 cm deep for pipe line with one or two inlets,each,1.02,,
19.30.3,Inside dimensions 600x 850 mm and 45 cm deep for pipe line with three or more inlets,each,1.27,,
19.31,Extra for depth beyond 45 cm of brick masonry chamber :,,,,
19.31.1,For 455x610 mm size,metre,0.87,,
19.31.2,For 500x700 mm size,metre,0.95,,
19.31.3,For 600x850 mm size,metre,1.12,,
19.32,Making s oak pit 2.5 m diameter 3.0 metre deep.,each,0.072,,
19.34,Providin stiff mixt g and fixing S.W. intercepting trap in manholes with ure of cement mortar (1:1).,,,,
19.34.1,100 mm dia,each,0.013,,
19.34.2,150 mm dia,each,0.019,,
19.35,P/L Non pressure Np-3 class,,,,
19.35.1,450 mm dia RCC pipe,100 metre,1.20,,
19.35.2,600 mm dia RCC pipe,100 metre,1.60,,
19.35.3,900 mm dia RCC pipe,100 metre,2.50,,
19.35.4,1000 mm dia RCC pipe,100 metre,2.80,,
19.35.5,1200 mm dia RCC pipe,100 metre,3.40,,
19.35.6,1800 mm dia RCC pipe,100 metre,4.90,,
19.36,P/L Non pressure Np-4 class,100 metre,,,
19.36.1,450 mm dia RCC pipe,100 metre,1.20,,
19.36.2,600 mm dia RCC pipe,100 metre,1.60,,
19.36.3,900 mm dia RCC pipe,100 metre,2.50,,
19.36.4,1000 mm dia RCC pipe,100 metre,2.80,,
19.36.5,1200 mm dia RCC pipe,100 metre,3.40,,
19.36.6,1800 mm dia RCC pipe,100 metre,4.90,,
,No.,,per unit quantity of work(Quintals),,
20.1,"Providin cement g, driving and installing driven cast-in-situ reinforced concrete piles of grade M -25.",,,,
20.1.1,400 mm dia piles,metre,0.414,,
20.1.2,450 mm dia piles,metre,0.525,,
20.1.3,500 mm dia piles,metre,0.648,,
20.1.4,550 mm dia piles,metre,0.784,,
20.1.5,750 mm dia piles,metre,1.456,,
20.1.6,1000 mm dia piles,metre,2.590,,
20.1.7,1200 mm dia piles,metre,3.729,,
20.1.8,1500 mm dia piles,metre,5.83,,
20.2,"Boring, p cement mechani roviding and installing bored cast-in-situ reinforced concrete piles of grade M -25 by tripod and cal winch machine.",,,,
20.2.3,450 mm dia piles,metre,0.525,,
20.2.4,500 mm dia piles,metre,0.648,,
20.2.5,600 mm dia piles,metre,0.932,,
20.2.6,750 mm dia piles,metre,1.456,,
,"20.2A Boring, p cement telescop roviding and installing bored cast-in-situ reinforced concrete piles of grade M -25 by crawler mounted, ic boom hydraulic pilling Rig.",,,,
,20.2A.1 600 mm dia piles,metre,0.932,,
,20.2A.2 750 mm dia piles,metre,1.456,,
,20.2A.3 1000 mm dia piles,metre,2.590,,
,20.2A.4 1200 mm dia piles,metre,3.729,,
,20.2A.5 1500 mm dia pile,metre,5.830,,
20.3,"Boring, reamed Providing and installing cast in situ single under piles of grade M -25.",,,,
20.3.1,300 mm dia piles,metre,0.257,,
20.3.2,400 mm dia piles,metre,0.488,,
