Item No.,Description,Unit,Rate,,
,dalhYM O;FkZ] [kkapksa dh dkVuk vkSj bls lgh djuk bR;kfn lEefyr gS%-,,,,
,"18-5-1 ih,u&16 ikbi] 20 feeh- vksMh ¼,lMhvkj&7-4½",ehVj,439-90,,
,"18-5-2 ih,u&16 ikbi] 25 feeh- vksMh ¼,lMhvkj&7-4½",ehVj,501-60,,
,"18-5-3 ih,u&16 ikbi] 32 feeh- vksMh ¼,lMhvkj&7-4½",ehVj,542-10,,
18-6,"Hkk-ek- 15801 dh iqf’V }kjk 3 ijr okys ih ih vkj ¼ikWfyQzsfithu jSUMe dksikWfyej½ ikbi] ;who LVSfcykbTM rFkk ,UVhekbdzksck;y Q~;wtu oSYMsM B.Ms rFkk xeZ ty dh vkiwfrZ ds fy, m'eh; fLFkjrk okys] ihih-vkj Iysu rFkk czkl FzskMsM ikWfyizksfiyhu jsUMe fQfVax [kkbZ [kksnus rFkk Hkjus A dk;Z izHkkjh vfHk;ark ds funsZ”kkuqlkj blesa tksM+ksa dh tkWap Hkh “kkfey gSA",,,,
,ckgjh dk;ZehVj,,,,
,"18-6-1 ih,u&16 ikbi] 20 feeh- vksMh ¼,lMhvkj&7-4½",ehVj,213-90,,
,"18-6-2 ih,u&16 ikbi] 25 feeh- vksMh ¼,lMhvkj&7-4½",ehVj,268-20,,
,"18-6-3 ih,u&16 ikbi] 32 feeh- vksMh ¼,lMhvkj&7-4½",ehVj,320-60,,
,"18-6-4 ih,u&16 ikbi] 40 feeh- vksMh ¼,lMhvkj&7-4½",ehVj,419-25,,
18-32,ekud vfHkdYi ds vuqlkj laiw.kZ “kq) lhesaV ds ?kksy foysiu lfgr 12 feeh eksVs ifjlTtu lfgr lhesaV elkys 1%3 ¼1 lhesaV% 3 eksVh jsr½ esa Hkhrjh IykLVj rFkk vko”;d [kqnkbZ uhao daØhV 1%5%10 ¼1 lhesaV% 5 eghu jsr% 10 dksfVÑr iRFkj feykos ds lkFk 40 feeh ukeh; vkdkj½ ds lkFk lhesaV daØhV Lyso 1%2%4 fefJr ¼1 lhesaV% 2 eksVh jsr% 4 dksfVÑr iRFkj feykos lfgr 20 feeh ukeh;vkdkj½ ds lkFk LFkk;h dCtsnkj <Ddu lfgr <ys yksgs ds Åijh cDl 100x100x75 feeh ¼Hkhrjh½ ds lkFk jksd VksaVh gsrq lhesaV elkys 1%4 ¼1 lhesaV( 4 eksVh jsr½ esa 75 oxZ ds ukfer bZaV dk;Z ds lkFk Hkhrj esa 30x30x50 lseh vkdkj dh fpukbZ gkSnh dk fuekZ.k fd;k tkuk],,,,
,"18-32-1 7-5 oxZuke dh lk/kkj.k fpduh feVV~h ls idh gqbZ ,Q-ih-,l- ¼uku ekM;yqj½ bZVksa ls A",izR;sd,1712-15,,
18-33,ekud vfHkdYi ds vuqlkj laiw.kZ “kq) lhesaV ds ?kksy foysiu lfgr 12 feeh eksVs ifjlTtu lfgr lhesaV elkys 1%3 ¼1 lhesaV% 3 eksVh jsr½ esa Hkhrjh IykLVj rFkk vko”;d [kqnkbZ uhao daØhV 1%5%10 ¼1 lhesaV% 5 eghu jsr% 10 dksfVÑr iRFkj feyko ds lkFk 40 feeh ukeh; vkdkj½ ds lkFk vkjlhlh Åijh rg Lyso 1%2%4 fefJr ¼1 lhesaV% 2 eksVh jsr( 4 dksfVÑr iRFkj feykos lfgr 20 feeh ukeh; vkdkj½ vkSj tathj okys <Ddu lfgr 100 feeh Åijh cDl ds lkFk Lywbl okYo gsrq lhesaV elkys 1%4 ¼1 lhesaV% 4 eksVh jsr½ esa 75 oxZ ds ukfer bZaV dk;Z ds lkFk Hkhrj esa 60x60x75 lseh vkdkj dh fpukbZ gkSnh dk fuekZ.k fd;k tkuk],,,,
,"18-33-1 7-5 oxZuke dh lk/kkj.k fpduh feVV~h ls idh gqbZ ,Q-ih-,l- ¼uku ekM;yqj½ bZVksa ls A",izR;sd,10102-50,,
18-34,ekud vfHkdYi ds vuqlkj laiw.kZ “kq) lhesaV ds ?kksy foysiu lfgr 12 feeh eksVs ifjlTtu lfgr lhesaV elkys 1%3 ¼1 lhesaV% 3 eksVh jsr½ esa Hkhrjh IykLVj rFkk vko”;d [kqnkbZ uhao daØhV 1%5%10 ¼1 lhesaV% 5 eghu jsr% 10 dksfVÑr iRFkj feyko ds lkFk 40 feeh ukeh; vkdkj½ ds lkFk vkjlhlh Åijh rg Lyso 1%2%4 fefJr ¼1 lhesaV% 2 eksVh jsr% 4 dksfVÑr iRFkj feykos lfgr 20 feeh ukeh; vkdkj½ vkSj tathj okys <Ddu lfgr 100 feeh Åijh rg O;kl] 160 feeh lrgh O;kl rFkk 180 feeh xgjs O;kl¼Hkhrjh½ ds <ys yksgs ds Åijh cDl ds lkFk Lywbl okYo gsrq lhesaV elkys 1%4 ¼1 lhesaV% 4 eksVh jsr½ esa 75 oxZ ds ukfer bZaV dk;Z ds lkFk Hkhrj esa 90x90x100 lseh vkdkj dh fpukbZ gkSnh dk fuekZ.k fd;k tkuk],,,,
,"18-34-1 7-5 oxZuke dh lk/kkj.k fpduh feVV~h ls idh gqbZ ,Q-ih-,l- ¼uku ekM;yqj½ bZVksa ls A",izR;sd,17577-90,,
18-35,"ekud vfHkdYi ds vuqlkj laiw.kZ “kq) lhesaV ds ?kksy foysiu lfgr 12 feeh eksVs ifjlTtu lfgr lhesaV elkys 1%3 ¼1 lhesaV% 3 eksVh jsr½ esa Hkhrjh IykLVj rFkk vko”;d [kqnkbZ uhao daØhV 1%5%10 ¼1 lhesaV% 5 eghu jsr% 10 dksfVÑr iRFkj feykos ds lkFk 40 feeh ukeh; vkdkj½ ds lkFk vkjlhlh Åijh rg Lyso 1%2%4 fefJr ¼1 lhesaV% 2 eksVh jsr% 4 dksfVÑr iRFkj feykos lfgr 20 feeh ukeh; vkdkj½ vkSj tathj okys <Ddu lfgr 100 feeh Åijh rg O;kl] 160 feeh lrgh O;kl rFkk 180 feeh xgjs O;kl¼Hkhrjh½ ds <ys yksgs ds Åijh cDl ds lkFk Lywbl okYo gsrq lhesaV elkys 1%4 ¼1 lhesaV% 4 eksVh jsr½ esa 75 oxZ ds ukfer bZaV dk;Z ds lkFk Hkhrj esa 120x120 x100 lseh vkdkj dh fpukbZ gkSnh dk fuekZ.k fd;k tkuk] 7-5 oxZuke dh lk/kkj.k fpduh feVV~h ls idh gqbZ ,Q-ih-,l- ¼uku ekM;yqj½ bZVksa ls A",izR;sd,24388-85,,
,18-46-2 20 feeh ukeh; fNnz okyh,izR;sd,289-05,,
,18-46-3 25 feeh ukeh; fNnz okyh,izR;sd,369-35,,
,18-46-4 32 feeh ukeh; fNnz okyh,izR;sd,409-45,,
,18-46-5 40 feeh ukeh; fNnz okyh,izR;sd,523-20,,
,18-46-6 50 feeh ukeh; fNnz okyh,izR;sd,706-70,,
,18-46-7 65 feeh ukeh; fNnz okyh,izR;sd,994-35,,
,18-46-8 80 feeh ukeh; fNnz okyh,izR;sd,1061-25,,
18-47,"[kksnkbZ] tehu dh HkjkbZ ;k nhokj dh dVkbZ vkSj mls lgh cukus lfgr laiw.kZ tgka Hkh vko”;d gks] ikbZi dks dkVus ,oa pwM+h dkVdj yEcs isap cukus lfgr ekStwn",,,,
,"tLrh yksgs dh ikbZi esa tLrh yksgs dh ;wfu;u dh O;oLFkk djuk ,oa yxkuk",,,,
,18-47-1 15 feeh ukeh; fNnz okyh,izR;sd,682-90,,
,18-47-2 20 feeh ukeh; fNnz okyh,izR;sd,709-70,,
,18-47-3 25 feeh ukeh; fNnz okyh,izR;sd,789-95,,
,18-47-4 32 feeh ukeh; fNnz okyh,izR;sd,830-10,,
,18-47-5 40 feeh ukeh; fNnz okyh,izR;sd,943-80,,
,18-47-6 50 feeh ukeh; fNnz okyh,izR;sd,1280-30,,
,18-47-7 65 feeh ukeh; fNnz okyh,izR;sd,1567-95,,
,18-47-8 80 feeh ukeh; fNnz okyh,izR;sd,1634-85,,
18-48,"izos”k] fudkl vkSj okg~; izokg ikbZiksa ds fy, vko”;d Nsn djds mi;qDr rkys dh O;oLFkk djuk lfgr <Ddu ds lkFk vkbZ,lvkbZ% 12701 Nki okys iksfyFkhyhu ty HkaMkj.k VSad dh O;oLFkk djuk rFkk bls Nr ¼lHkh ryksa ds Lrj ij½ ij laLFkkfir djuk A ijUrq tqM+ukjsa vkSj VSad dh vk/kkj Vsd blesa “kkfey ugha gS",izfr yhVj,9-70,,
18-48d,"izos”k] fudkl vkSj okg~; izokg ikbZiksa ds fy, vko”;d Nsnksa fd O;oLFkk djuk lfgr <Ddu ds lkFk vkbZ,lvkbZ% 12701 Nki okys iksfyFkhyhu ty HkaMkj.k mPp ?kuRo epku VSad tks vkikjn”khZ gks epku VSad ds epku o fQfVaxl dk Hkqxrku vyx ls fd;k tk,xkA",izfr yhVj,9-70,,
,Øksfe;e&;qDr ihry dh tqM+ukjsa,,,,
18-49,"vkbZ,l% 8931 ds vuq:i vuqeksfnr dksfV ds Øksfe;e&;qDr ihry dh fcc VksaVh dh O;oLFkk djuk rFkk yxkuk",,,,
,18-49-1 15 feeh ukeh; fNnz okyh,izR;sd,434-20,,
18-50,"vkbZ,l ekudksa ds vuq:i vkSj de ls de 810 xzke ds Hkkj dh vuqeksfnr dksfV dh Øksfe;e&;qDr ihry dh yEch ukd&fcc VksaVh dh O;oLFkk djuk vkSj yxkuk",,,,
,18-50-1 15 feeh ukeh; fNnz okyh,izR;sd,715-05,,
18-51,"vkbZ,l ekudksa ds vuq:i vkSj de ls de 690 xzke ds Hkkj dh vuqeksfnr dksfV dh Øksfe;e&;qDr ihry dh yEch dk; fcc VksaVh dh O;oLFkk djuk vkSj yxkuk",,,,
,18-51-1 15 feeh ukeh; fNnz okyh,izR;sd,708-40,,
18-52,"vkbZ,l&8931 ds vuq:i rFkk ekud vfHkdYi ,oa vuqeksfnr esd ds Øksfe;e&;qDr ihry dh jksd VksaVh ¼dulksYM½ dh O;oLFkk djuk rFkk yxkuk",,,,
,18-52-1 15 feeh ukeh; fNnz okyh,izR;sd,594-75,,
,ok;q okYo vkSj ty&ehVj ¼Fkksd Js.kh½,,,,
18-59,"oksYV ,oa uVksa] jcM+ var%os”kuksa vkfn laiw.kZ lfgr vuqeksfnr dksfV ds <ys yksgs ds nksgjh fØ;k okys ok;q okYo dk O;oLFkk djuk ,oa yxkuk ¼;kstu mikaxksa] Vsijksa vkfn dh ;fn vko”;drk gks rks budk vyx ls Hkqxrku fd;k tk,xk½",,,,
,18-59-1 50 feeh O;kl ds,izR;sd,5171-75,,
,18-59-2 80 feeh O;kl ds,izR;sd,6255-45,,
,18-59-3 100 feeh O;kl ds,izR;sd,8214-10,,
18-60,"oksYV ,oa uVksa] jcM+ var%os”kuksa vkfn laiw.kZ lfgr uxjikfydk cksMZ }kjk ijhf{kr rFkk vkbZ,l&2373 ds vuq:i ifjo‘r Js.kh ds ty&ehVj ¼Fkksd Js.kh½ dh O;oLFkk djuk ,oa yxkuk ¼;kstu mikaxksa] Vsijksa vkfn dh ;fn vko”;drk gks rks budk vyx ls Hkqxrku fd;k tk,xk½",,,,
,18-60-1 80 feeh O;kl ds ukeh; fNnz okys,izR;sd,3266-10,,
,18-60-2 100 feeh O;kl ds ukeh; fNnz okys,izR;sd,4995-90,,
,18-60-3 150 feeh O;kl ds ukeh; fNnz okys,izR;sd,7357-35,,
,18-60-4 200 feeh O;kl ds ukeh; fNnz okys,izR;sd,8080-15,,
18-61,"vkbZ,l&2373 ds vuq:i uVksa] oksYVksa] jcM+ var%os”kuksa vkfn laiw.kZ lfgr cYd Js.kh ds ty&ehVj ds fy, <ys yksgs dh tkyhnkj eyisVh dh O;oLFkk djuk ,oa yxkuk",,,,
,18-61-1 80 feeh O;kl dh,izR;sd,4135-75,,
,18-61-2 100 feeh O;kl dh,izR;sd,6637-55,,
,18-61-3 150 feeh O;kl dh,izR;sd,8394-25,,
,18-61-4 200 feeh O;kl dh,izR;sd,11712-65,,
18-62,",yih/,pih,pMh IykfLVd xksyfiaM lfgr bikDlh foysfir ,yqfefu;e NM+ ds lkFk vuqeksfnr dksfV] jax vkSj Nki dh ihVh,eVh xksyk VksaVh dh O;oLFkk djuk ,oa yxkuk",,,,
,18-62-1 de ls de 138 xzke dh 105 feeh yEch 15 feeh ukeh; fNnz okyh,izR;sd,161-55,,
,18-62-2 de ls de 198 xzke dh 120 feeh yEch 20 feeh ukeh; fNnz okyh,izR;sd,223-50,,
,18-62-3 de ls de 440 xzke dh 152 feeh yEch 25 feeh ukeh; fNnz okyh,izR;sd,459-40,,
,18-62-4 de ls de 690 xzke dh 206 feeh yEch 40 feeh ukeh; fNnz okyh,izR;sd,653-40,,
,18-62-5 de ls de 1240 xzke dh 242 feeh yEch 50 feeh ukeh; fNnz okyh,izR;sd,1188-55,,
18-63,"de ls de 85 xzke dh 15 feeh ukeh; fNnz okyh ihVh,eVh dks.kh; jksd VksaVh dh O;oLFkk djuk ,oa yxkuk",izR;sd,136-60,,
18-64,"de ls de 40 xzke dh 15 feeh ukeh; fNnz okyh ihVh,eVh ?kqekÅnkj “kkoj",,,,
,"¼Qqgkjs½ dh O;oLFkk djuk ,oa yxkuk",izR;sd,106-15,,
,nhokj ij fd;k x;k vkUrfjd dk;ZA,,,,
,18-85-1 15-88 feeh- ckg~; O;kl ikbi,ehVj,352-15,,
,18-85-2 22-22 feeh- ckg~; O;kl okyh ikbi,ehVj,506-70,,
,18-85-3 28-58 feeh- ckg~; O;kl okyh ikbi,ehVj,591-45,,
,18-85-4 34-00 feeh- ckg~; O;kl okyh ikbi,ehVj,773-40,,
,18-85-5 42-70 feeh- ckg~; O;kl okyh ikbi,ehVj,788-65,,
,18-85-6 48-60 feeh- ckg~; O;kl okyh ikbi,ehVj,1027-40,,
18-85d,"vkbZ,l 6911%2017 ds vuqlkj vkSj bZ,u&10312 ekudksa ds vuq:i xzsM",,,,
,"316 ,y dh LVsuysl LVhy ikbi çnku djuk vkSj fQDl djuk rFkk fQfVax çnku djuk tksçsl Vkbi fQfVax ds lkFk iw.kZ gks ¼fQfVax ds fy, vyx ls Hkqxrku fd;k tk,xk½ ftlesa çHkkjh vfHk;ark ds funs'kkuqlkj 1-00 ehVj dh nwjh ij DySai ds lkFk ikbi dh fQfDlax lfgr dVkbZ vkSj nhokjksa dks vPNk cukus ds lfgr iw.kZ tksM+ksa ds ijh{k.k 'kkfey gSA ¼fQfVax esa Mkyh xbZ ikbi dh yackbZ Hkqxrku ds fy, ugha ekih tk,xh½ vkarfjd dk;Z & nhokj ij vuko`r",,,,
,18-85 d-115 feeh ckgjh O;kl ikbi,ehVj,590-95,,
,18-85 d-222 feeh ckgjh O;kl ikbi,ehVj,857-95,,
,18-85 d-328 feeh ckgjh O;kl ikbi,ehVj,1069-10,,
,18-85 d-435 feeh ckgjh O;kl ikbi,ehVj,1483-60,,
,18-85 d-542 feeh ckgjh O;kl ikbi,ehVj,1786-05,,
,18-85 d-654 feeh ckgjh O;kl ikbi,ehVj,2263-75,,
18-86,izHkkjh bathfu;j ds funZs”kkuqlkj tksM+ksa ds ijh{k.k djus lfgr dfVax vkSj nhokjksa dks,,,,
,vPNk cukus lfgr 1-00 eh- dh nwjh ij DySEiksa ls ikbi dh izsl Vkbi fQfVax,,,,
,¼fQfVax dk Hkqxrku vyx ls fd;k tk;sxk½ ds lkFk iw.kZJISekin.M 3448 ds,,,,
,"vuqlkjAISI304 xzsM LVsuysl LVhy ikbi vkSj fQfVax dh O;oLFkk djuk o yxkukA(fQfVax ds vUnj Mkys x, ikbi dh yEckbZ Hkqxrku ds fy, ugha ekih tk,xh)",,,,
,nhokj ij fd;k x;k vkUrfjd dk;Z ¼fNik gqvk Vkbi½,,,,
,18-86-1 15-88 feeh- O;kl okyh ikbi,ehVj,523-15,,
,18-86-2 22-20 feeh- O;kl okyh ikbi,ehVj,677-75,,
18-86d,"vkbZ,l 6911%2017 ds vuqlkj vkSj bZ,u&10312 ekudksa ds vuq:i xzsM",,,,
,"316 ,y dh LVsuysl LVhy ikbi çnku djuk vkSj fQDl djuk rFkk fQfVax çnku djuk tks çsl Vkbi fQfVax ds lkFk iw.kZ gks ¼fQfVax ds",,,,
,"fy, vyx ls Hkqxrku fd;k tk,xk½ ftlesa çHkkjh vfHk;ark ds funs'kkuqlkj 1-00 ehVj dh nwjh ij DySai ds lkFk ikbi dh fQfDlax lfgr [kkapksa dh dVkbZ vkSj nhokjksa dks vPNk cukus ds lfgr iw.kZ tksM+ksa ds ijh{k.k",,,,
,"'kkfey gSA ¼fQfVax esa Mkyh xbZ ikbi dh yackbZ Hkqxrku ds fy, ugha ekih tk,xh½",,,,
,vkarfjd dk;Z –vko`r ikbi,,,,
,18-86d-1 15 feeh ckgjh O;kl ikbi,ehVj,762-00,,
,18-86d-2 22 feeh ckgjh O;kl ikbi,ehVj,1028-95,,
18-87,izHkkjh bathfu;j ds funZs”kkuqlkjV izksQkby vFkokMizksQkby vkSj visf{kr O;kl dhEPDM lkexzh dhOfjax lhfyax xSLdV ds lkFkJWWA G 116 ekin.M ds vuq:IkAISI 304 xzsM dh izsl fQV fMtkbu dh visf{kr LVsuysl LVhy fQfVax dh O;oLFkk djuk o yxkukA difyax@lkWdsV,,,,
,"18-87-1 15-88 feeh- ckg~; O;kl okyh ikbi ds fy,",izR;sd,80-30,,
,"18-87-2 22-22 feeh- ckg~; O;kl okyh ikbi ds fy,",izR;sd,93-65,,
,"18-87-3 28-58 feeh- ckg~; O;kl okyh ikbi ds fy,",izR;sd,128-80,,
,"18-87-4 34-00 feeh- ckg~; O;kl okyh ikbi ds fy,",izR;sd,180-60,,
,"18-87-5 42-70 feeh- ckg~; O;kl okyh ikbi ds fy,",izR;sd,214-05,,
,"18-87-6 48-60 feeh- ckg~; O;kl okyh ikbi ds fy,",izR;sd,240-85,,
18-87d,"çHkkjh vfHk;ark ds funsZ'kkuqlkj oh&çksQkby vkSj vko';d O;kl ds bZihMh,e lkexzh ds vks&fjax lhfyax xSLds'kV ds lkFk vkbZ ,l 6911%2017 ds vuqlkj vkSj bZ,u&10312 ekudksa ds vuq:i 316 xzsM ,y dh çsl fQV fMtkbu dh vko';Sd LVswuysl LVhhy fQfVax çnku djuk vkSj fQDl~ djukA",,,,
,dijfyax@l‚dsV,,,,
,"18-87 d-115 feeh ckgjh O;kl ikbi ds fy,",çR;sd,287-65,,
,"18-87 d-222 feeh ckgjh O;kl ikbi ds fy,",çR;sd,361-25,,
,"18-87 d-328 feeh ckgjh O;kl ikbi ds fy,",çR;sd,421-45,,
,"18-87 d-435 feeh ckgjh O;kl ikbi ds fy,",çR;sd,528-50,,
,"18-87 d-542 feeh ckgjh O;kl ikbi ds fy,",çR;sd,715-80,,
,"18-87 d-654 feeh ckgjh O;kl ikbi ds fy,",çR;sd,856-30,,
18-88,izHkkjh bathfu;j ds funZs”kkuqlkjV izksQkby vFkokMizksQkby vkSj visf{kr O;kl dhEPDM lkexzh dhOfjax lhfyax xSLdV ds lkFkJWWA G 116 ekin.M ds vuq:IkAISI 304 xzsM dh izsl fQV fMtkbu dh visf{kr LVsuysl LVhy fQfVax dh O;oLFkk djuk o yxkukA,,,,
,fjM~;wlj,,,,
,"18-88-1 22.22feeh-x15.88feeh- ckg~; O;kl okyh ikbi ds fy,",izR;sd,145-15,,
,"18-88-2 28.58feeh-x15.88feeh- ckg~; O;kl okyh ikbi ds fy,",izR;sd,204-05,,
,"18-88-3 28.58feeh-x22.22feeh- ckg~; O;kl okyh ikbi ds fy,",izR;sd,216-10,,
,"18-88-4 34.00feeh-x15.88 feeh- ckg~; O;kl okyh ikbi ds fy,",izR;sd,267-60,,
,"18-88-5 34.00 feeh-x22.22feeh- ckg~; O;kl okyh ikbi ds fy,",izR;sd,280-95,,
,"18-88-6 34.00feeh-x28.58 feeh- ckg~; O;kl okyh ikbi ds fy,",izR;sd,280-95,,
,"18-88-7 42.70feeh-x15.88 feeh- ckg~; O;kl okyh ikbi ds fy,",izR;sd,501-75,,
,"18-88-8 42.70feeh-x22.22feeh- ckg~; O;kl okyh ikbi ds fy,",izR;sd,501-75,,
,"18-88-9 42.70 feeh-x28.58 feeh- ckg~; O;kl okyh ikbi ds fy,",izR;sd,521-80,,
,"18-88-10 42.70feeh-x34.00 feeh- ckg~; O;kl okyh ikbi ds fy,",izR;sd,521-80,,
,"18-88-11 48.60 feeh- X 15.88 feeh- ckg~; O;kl okyh ikbi ds fy,",izR;sd,568-60,,
,"18-88-12 48.60feeh- X 22.22feeh- ckg~; O;kl okyh ikbi ds fy,",izR;sd,568-60,,
,"18-88-13 48.60feeh- X 28.58feeh- ckg~; O;kl okyh ikbi ds fy,",izR;sd,568-60,,
,"18-88-14 48.60 feeh- X 34.00 feeh- ckg~; O;kl okyh ikbi ds fy,",izR;sd,568-60,,
,"18-88-15 48.60 feeh- X 42.70 feeh- ckg~; O;kl okyh ikbi ds fy,",izR;sd,568-60,,
11-88d,"çHkkjh vfHk;ark ds funs'kkuqlkj oh&çksQkby vkSj vko';d O;kl ds bZihMh,e lkexzh ds vks&fjax lhfyax xSLdsV ds lkFk vkbZ ,l 6911%2017 ds vuqlkj vkSj bZ,u&10312 ekudksa ds vuq:i 316 xzsM ,y dh çsl fQV fMtkbu dh vko';d LVswuysl LVhy fQfVax çnku djuk vkSj fQDl~ djukA",,,,
,jsMîwlj,,,,
,"18-88 d-1 22 feehX15 feeh ckgjh O;kl ikbi ds fy,",çR;sd,341-15,,
,"18-88 d-2 28 feehX15 feeh ckgjh O;kl ikbi ds fy,",çR;sd,414-75,,
,"18-88 d-3 28 feehX22 feeh ckgjh O;kl ikbi ds fy,",çR;sd,501-70,,
,"18-88 d-4 35 feehX22 feeh ckgjh O;kl ikbi ds fy,",çR;sd,508-40,,
,"18-88 d-5 35 feehX28 feeh ckgjh O;kl ikbi ds fy,",çR;sd,628-85,,
,"18-88d-6 42 feehX22 feeh ckgjh O;kl ikbi ds fy,",çR;sd,809-45,,
,"18-88 d-7 42 feehX28 feeh ckgjh O;kl ikbi ds fy,",çR;sd,923-15,,
,"18-88 d-8 42 feehX35 feeh ckgjh O;kl ikbi ds fy,",çR;sd,963-30,,
,"18-88d-9 54 feehX28 feeh ckgjh O;kl ikbi ds fy,",çR;sd,1117-20,,
,"18-88d-10 54 feehX35 feeh ckgjh O;kl ikbi ds fy,",çR;sd,1324-55,,
,"18-88 d-11 54 feehX42 feeh ckgjh O;kl ikbi ds fy,",çR;sd,1378-05,,
18-89,izHkkjh bathfu;j ds funZs”kkuqlkjV izksQkby vFkokMizksQkby vkSj visf{kr O;kl dhEPDM lkexzh dhOfjax lhfyax xSLdV ds lkFkJWWA G 116 ekin.M ds,,,,
,vuq:IkAISI 304 xzsM dh izsl fQV fMtkbu dh visf{kr LVsuysl LVhy fQfVax dh O;oLFkk djuk o yxkukA,,,,
,fLyi difyax@ lkdsV,,,,
,"18-89-1 15-88 feeh- ckg~; O;kl okyh ikbi ds fy,",izR;sd,73-60,,
,"18-89-2 22-22 feeh- ckg~; O;kl okyh ikbi ds fy,",izR;sd,93-65,,
,"18-89-3 28-58 feeh- ckg~; O;kl okyh ikbi ds fy,",izR;sd,127-10,,
,"18-89-4 34-00 feeh- ckg~; O;kl okyh ikbi ds fy,",izR;sd,180-60,,
,"18-89-5 42-70 feeh- ckg~; O;kl okyh ikbi ds fy,",izR;sd,214-05,,
,"18-89-6 48-60 feeh- ckg~; O;kl okyh ikbi ds fy,",izR;sd,234-15,,
11-89d,çHkkjh vfHk;ark ds funs'kkulkj oh&çksQkby vkSj vko';hd O;kHl ds,,,,
,"q bZihMh,e lkexzh ds vks&fjax lhfyax xSLdfsV ds lkFk vkbZ ,l 6911%2017",,,,
,"ds vuqlkj vkSj bZ,u&10312 ekudksa ds vuq:i 316 xzsM ,y dh çsl fQV",,,,
,fMtkbu dh vko';d LVsuysl LVhvky fQfVax çnku djuk vkSj fQDlV djukA,,,,
,Lyh o@fLyi difyax@l‚dsV,,,,
,"18-89 d-1 15 feeh ckgjh O;kl ikbi ds fy,",çR;sd,501-75,,
,"18-89 d-2 22 feeh ckgjh O;kl ikbi ds fy,",çR;sd,602-05,,
,"18-89 d-3 28 feeh ckgjh O;kl ikbi ds fy,",çR;sd,695-75,,
,"18-89 d-4 35 feeh ckgjh O;kl ikbi ds fy,",çR;sd,776-00,,
,"18-89 d-5 42 feeh ckgjh O;kl ikbi ds fy,",çR;sd,896-40,,
,"18-89 d-6 54 feeh ckgjh O;kl ikbi ds fy,",çR;sd,1277-75,,
18-90,izHkkjh bathfu;j ds funZs”kkuqlkjV izksQkby vFkokMizksQkby vkSj visf{kr O;kl dhEPDM lkexzh dhOfjax lhfyax xSLdV ds lkFkJWWA G 116 ekin.M ds vuq:IkAISI 304 xzsM dh izsl fQV fMtkbu dh visf{kr LVsuysl LVhy fQfVax dh O;oLFkk djuk o yxkukA,,,,
,",Ycks 90<sup>0</sup>",,,,
,"18-90-1 15-88 feeh- ckg~; O;kl okyh ikbi ds fy,",izR;sd,86-95,,
,"18-90-2 22-22 feeh- ckg~; O;kl okyh ikbi ds fy,",izR;sd,93-65,,
,"18-90-3 28-58 feeh- ckg~; O;kl okyh ikbi ds fy,",izR;sd,140-50,,
,"18-90-4 34-00 feeh- ckg~; O;kl okyh ikbi ds fy,",izR;sd,160-55,,
,"18-90-5 42-70 feeh- ckg~; O;kl okyh ikbi ds fy,",izR;sd,173-95,,
,"18-90-6 48-60 feeh- ckg~; O;kl okyh ikbi ds fy,",izR;sd,214-05,,
18-90d,"çHkkjh vfHk;ark ds funs'kkuqlkj oh&çksQkby vkSj vko';d O;kl ds bZihMh,e lkexzh ds vks&fjax lhfyax xSLdsV ds lkFk vkbZ ,l 6911%2017 ds vuqlkj vkSj bZ,u&10312 ekudksa ds vuq:i 316 xzsM ,y dh çsl fQV fMtkbu dh vko';d LVswuysl LVhy fQfVax çnku djuk vkSj fQDlV djukA",,,,
,",Ycks 90<sup>0</sup>",,,,
,"18-90 d-115 feeh ckgjh O;kl ikbi ds fy,",çR;sd,408-05,,
,"18-90 d-222 feeh ckgjh O;kl ikbi ds fy,",çR;sd,575-30,,
,"18-90 d-328 feeh ckgjh O;kl ikbi ds fy,",çR;sd,769-30,,
,"18-90 d-435 feeh ckgjh O;kl ikbi ds fy,",çR;sd,1257-65,,
,"18-90 d-542 feeh ckgjh O;kl ikbi ds fy,",çR;sd,2033-65,,
,"18-90d-6 54 feeh ckgjh O;kl ikbi ds fy,",çR;sd,2689-25,,
18-91,izHkkjh bathfu;j ds funZs”kkuqlkjV izksQkby vFkokMizksQkby vkSj visf{kr O;kl dhEPDM lkexzh dhOfjax lhfyax xSLdV ds lkFkJWWA G 116 ekin.M ds vuq:IkAISI 304 xzsM dh izsl fQV fMtkbu dh visf{kr LVsuysl LVhy fQfVax dh O;oLFkk djuk o yxkukA,,,,
,"fjM~;wfalax ,Ycks 90<sup>0</sup>",,,,
,"18-91-1 22-22 feeh-x15.88feeh- ckg~; O;kl okyh ikbi ds fy,",izR;sd,200-70,,
,"18-91-2 28-58 feeh-x15.88 feeh- ckg~; O;kl okyh ikbi ds fy,",izR;sd,280-95,,
,"18-91-3 28-58 feeh-x22.22 feeh- ckg~; O;kl okyh ikbi ds fy,",izR;sd,334-50,,
,"18-91-4 34-00 feeh-x22.22 feeh- ckg~; O;kl okyh ikbi ds fy,",izR;sd,394-70,,
,"18-91-5 34-00 feeh-x28.58 feeh- ckg~; O;kl okyh ikbi ds fy,",izR;sd,468-30,,
,"18-91-6 42-70 feeh-x34.00feeh- ckg~; O;kl okyh ikbi ds fy,",izR;sd,254-20,,
