Item No.,Description,Unit,Rate,,
1545,G.I. pipes 15 mm dia,metre,95.00,,
1546,G.I. pipes 20 mm dia,metre,130.00,,
1547,G.I. pipes 25 mm dia,metre,196.00,,
1548,G.I. pipes 32 mm dia,metre,225.00,,
1549,G.I. pipes 40 mm dia,metre,290.00,,
1550,G.I. pipes 50 mm dia,metre,360.00,,
1551,G.I. pipes 65 mm dia,metre,415.00,,
1552,G.I. pipes 80 mm dia,metre,525.00,,
1555,G.I. back (jam) nuts 25 mm dia,each,18.00,,
1559,G.I. back (jam) nuts 65 mm dia,each,25.00,,
1608,G.I. tees (equal) 25 mm,each,65.00,,
1612,G.I. tees (equal) 65 mm,each,452.00,,
1641,G.I. Union 15 mm nominal bore,each,35.00,,
1642,G.I. Union 20 mm nominal bore,each,55.00,,
1643,G.I. Union 25 mm nominal bore,each,115.00,,
1644,G.I. Union 32 mm nominal bore,each,145.00,,
1645,G.I. Union 40 mm nominal bore,each,230.00,,
1646,G.I. Union 50 mm nominal bore,each,310.00,,
1647,G.I. Union 65 mm nominal bore,each,525.00,,
1648,G.I. Union 80 mm nominal bore,each,575.00,,
1649,Polyethylene water storage tank with cover and suitable locking arrangement,per litre,6.10,,
1687,Unplasticised P.V.C. connection pipe with brass union 30 cm long 15 mm bore,each,30.00,,
1688,Unplasticised P.V.C. connection pipe with brass union 30 cm long 20 mm bore,each,35.00,,
1689,Unplasticised P.V.C. connection pipe with brass union 45 cm long 15 mm bore,each,35.00,,
1690,Unplasticised P.V.C. connection pipe with brass union 45 cm long 20 mm bore,each,48.00,,
1693,S.C.I. hand pump,each,700.00,,
1878,Shower rose C.P. brass for 15 to 20 mm inlet 100 mm dia,each,110.00,,
1879,Shower rose C.P. brass for 15 to 20 mm inlet 150 mm dia,each,125.00,,
No.,,,as on or,,
,,,just before 01.04.2021,,
1881,Spun yarn,kg,55.00,,
1882,Strainer brass 40 mm dia 1.5 metre long,each,625.00,,
1922,H.P. or L.P. ball valve with polythene floats: 15 mm dia,each,215.00,,
1923,H.P. or L.P. ball valve with polythene floats: 20 mm dia,each,240.00,,
1924,H.P. or L.P. ball valve with polythene floats: 25 mm dia,each,230.00,,
1926,20 mm dia Gunmetal gate valve with wheel,each,325.00,,
1927,Brass full way valve with C.I. wheel (screwed end) 25 mm dia,each,375.00,,
1928,Brass full way valve with C.I. wheel (screwed end) 32 mm dia,each,415.00,,
1929,Brass full way valve with C.I. wheel (screwed end) 40 mm dia,each,500.00,,
1930,Brass full way valve with C.I. wheel (screwed end) 50 mm dia,each,625.00,,
1931,Brass full way valve with C.I. wheel (screwed end) 65 mm dia,each,1080.00,,
1932,Brass full way valve with C.I. wheel (screwed end) 80 mm dia,each,1625.00,,
1933,Gunmetal non-return valve-horizontal (screwed end) 25 mm dia,each,350.00,,
1934,Gunmetal non-return valve-horizontal (screwed end) 32 mm dia,each,475.00,,
1935,Gunmetal non-return valve-horizontal (screwed end) 40 mm dia,each,575.00,,
1936,Gunmetal non-return valve-horizontal (screwed end) 50 mm dia,each,840.00,,
1937,Gunmetal non-return valve-horizontal (screwed end) 65 mm dia,each,1525.00,,
1938,Gunmetal non-return valve-horizontal (screwed end) 80 mm dia,each,2300.00,,
1940,C.I. sluice valve (with caps) class I: 100 mm dia,each,2450.00,,
1941,C.I. sluice valve (with caps) class I : 125 mm dia,each,2610.00,,
1942,C.I. sluice valve (with caps) class I: 150 mm dia,each,3650.00,,
1943,C.I. sluice valve (with caps) class I : 200 mm dia,each,7600.00,,
1944,C.I. sluice valve (with caps) class I : 250 mm dia,each,10980.00,,
1945,C.I. sluice valve (with caps) class I: 300 mm dia,each,15500.00,,
1956,Bolts and nuts 16 mm dia 60 mm long,each,11.50,,
1957,Bolts and nuts 16 mm dia 65 mm long,each,13.00,,
1958,Bolts and nuts 20 mm dia 65 mm long,each,15.00,,
1959,Bolts and nuts 20 mm dia 70 mm long,each,17.50,,
1960,Bolts and nuts 20 mm dia 75 mm long,each,17.00,,
1961,Bolts and nuts 20 mm dia 80 mm long,each,17.00,,
1962,Bolts and nuts 24 mm dia 85 mm long,each,27.00,,
1963,Bolts and nuts 24 mm dia 90 mm long,each,31.00,,
1964,Bolts and nuts 27 mm dia 100 mm long,each,37.00,,
2271,Carriage of G.I. pipes below 100 mm dia,tonne,145.72,,
2272,Carriage of Stainless Steel pipes below 100 mm dia,tonne,145.72,,
2309,Carriage of Cast Iron fittings,tonne,145.72,,
2319,Carriage of Spun iron S & S pipes 100 mm dia,100 metre,358.32,,
No.,,,as on or,,
,,,just before 01.04.2021,,
2320,Carriage of Spun iron S & S pipes 125 mm dia,100 metre,478.64,,
2321,Carriage of Spun iron S & S pipes 150 mm dia,100 metre,597.20,,
2322,Carriage of Spun iron S & S pipes 200 mm dia,100 metre,971.45,,
2323,Carriage of Spun iron S & S pipes 250 mm dia,100 metre,1380.48,,
2324,Carriage of Spun iron S & S pipes 300 mm dia,100 metre,1706.30,,
2325,Carriage of Spun iron S & S pipes 350 mm dia,100 metre,2388.82,,
2326,Carriage of Spun iron S & S pipes 400 mm dia,100 metre,3257.48,,
2327,Carriage of Spun iron S & S pipes 450 mm dia,100 metre,3981.36,,
2328,Carriage of Spun iron S & S pipes 500 mm dia,100 metre,3981.36,,
2329,Carriage of Spun iron S & S pipes 600mm dia,100 metre,5972.04,,
2330,Carriage of C.I. pipes 500 mm dia,100 metre,3981.36,,
2331,Carriage of R.C.C. pipes 900 mm dia,100 metre,8958.06,,
2332,Carriage of R.C.C. pipes 1000 mm dia,100 metre,11944.08,,
2333,Carriage of R.C.C. pipes 1100 mm dia,100 metre,11944.08,,
2334,Carriage of R.C.C. pipes 1200 mm dia,100 metre,11944.08,,
2335,Carriage of sand,cum,163.93,,
2341,Carriage of Pig lead,tonne,145.72,,
2343,Carriage of Ductile Iron pipes (k7) 100 mm dia,100 metre,358.32,,
2344,Carriage of Cast iron pipes 150 mm dia,100 metre,597.20,,
2345,Carriage of Cast iron pipes 200 mm dia,100 metre,971.45,,
2346,Carriage of Cast iron pipes 250 mm dia,100 metre,1380.48,,
2347,Carriage of Cast iron pipes 300 mm dia,100 metre,1706.30,,
2348,Carriage of Cast iron pipes 350 mm dia,100 metre,2388.82,,
2349,Carriage of Cast iron pipes 400 mm dia,100 metre,3257.48,,
2350,Carriage of Cast iron pipes 450 mm dia,100 metre,3981.36,,
2351,Carriage of Cast iron pipes 500 mm dia,100 metre,3981.36,,
2352,Carriage of Cast iron pipes 600 mm dia,100 metre,5972.04,,
2353,Carriage of Cast iron pipes 700 mm dia,100 metre,5972.04,,
2355,Carriage of Cast iron pipes 800 mm dia,100 metre,5972.04,,
2356,Carriage of Cast iron pipes 900 mm dia,100 metre,8958.06,,
2357,Carriage of Cast iron pipes 1000 mm dia,100 metre,11944.08,,
3080,Gunmetal non-return valve - vertical (screwed end) 25 mm dia,each,400.00,,
3084,Gunmetal non-return valve - vertical (screwed end) 32 mm dia,each,550.00,,
3088,Gunmetal non-return valve - vertical (screwed end) 40 mm dia,each,750.00,,
3092,Gunmetal non-return valve - vertical (screwed end) 50 mm dia,each,950.00,,
3096,Gunmetal non-return valve - vertical (screwed end) 65 mm dia,each,1550.00,,
3300,Gunmetal non-return valve - vertical (screwed end) 80 mm dia,each,2600.00,,
No.,,,as on or,,
,,,just before 01.04.2021,,
3311,C.I. sluice valve (with caps) class II : 100 mm dia,each,2700.00,,
3314,C.I. sluice valve (with caps) class II : 125 mm dia,each,3300.00,,
3317,C.I. sluice valve (with caps) class II : 150 mm dia,each,4100.00,,
3320,C.I. sluice valve (with caps) class II : 200 mm dia,each,8900.00,,
3321,C.I. sluice valve (with caps) class II : 250 mm dia,each,15000.00,,
3326,C.I. sluice valve (with caps) class II : 300 mm dia,each,18500.00,,
3327,15 mm Battery Based Sensor Pillar Cock,each,6000.00,,
3862,SS pipe 316L grade as per IS 6911:2017 with press fit technology and conforming to EN-10312 standard 15 mm outer dia,metre,310.00,,
3863,SS pipe 316L grade as per IS 6911:2017 with press fit technology and conforming to EN-10312 standard 22 mm outer dia,metre,500.00,,
3864,SS pipe 316L grade as per IS 6911:2017 with press fit technology and conforming to EN-10312 standard 28 mm outer dia,metre,650.00,,
3865,SS pipe 316L grade as per IS 6911:2017 with press fit technology and conforming to EN-10312 standard 35 mm outer dia,metre,945.00,,
3866,SS pipe 316L grade as per IS 6911:2017 with press fit technology and conforming to EN-10312 standard 42 mm outer dia,metre,1160.00,,
3867,SS pipe 316L grade as per IS 6911:2017 with press fit technology and conforming to EN-10312 standard 54 mm outer dia,metre,1500.00,,
3868,Coupling/Socket fittings for 15 mm outer dia SS pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,215.00,,
3869,Coupling/Socket fittings for 22 mm outer dia SS pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,270.00,,
3870,Coupling/Socket fittings for 28 mm outer dia SS pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,315.00,,
3871,Coupling/Socket fittings for 35 mm outer dia SS pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,395.00,,
3872,Coupling/Socket fittings for 42 mm outer dia SS pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,535.00,,
3873,Coupling/Socket fittings for 54 mm outer dia SS pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,640.00,,
3874,Reducer for 22 mm X 15 mm outer Dia SS pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,255.00,,
3875,Reducer for 28 mm X 15 mm outer Dia SS pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,310.00,,
3876,Reducer for 28 mm X 22 mm outer Dia SS pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,375.00,,
3877,Reducer for 35 mm X 22 mm outer Dia SS pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,380.00,,
3878,Reducer for 35 mm X 28 mm outer Dia SS pipe of grade 316L,,,,
,as per IS 6911:2017 and conforming to EN-10312 standard,each,470.00,,
No.,,,as on or just before 01.04.2021,,
3879,Reducer for 42 mm X 22 mm outer Dia SS pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,605.00,,
3880,Reducer for 42 mm X 28 mm outer Dia SS pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,690.00,,
3881,Reducer for 42 mm X 35 mm outer Dia SS pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,720.00,,
3882,Reducer for 54 mm X 28 mm outer Dia SS pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,835.00,,
3883,Reducer for 54 mm X 35 mm outer Dia SS pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,990.00,,
3884,Reducer for 54 mm X 42 mm outer Dia SS pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,1030.00,,
3885,Sleeve/Slip Coupling / Socket 15 mm outer dia SS pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,375.00,,
3886,Sleeve/Slip Coupling / Socket 22 mm outer dia SS pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,450.00,,
3887,Sleeve/Slip Coupling / Socket 28 mm outer dia SS pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,520.00,,
3888,Sleeve/Slip Coupling / Socket 35 mm outer dia SS pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,580.00,,
3889,Sleeve/Slip Coupling / Socket 42 mm outer dia SS pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,670.00,,
3890,Sleeve/Slip Coupling / Socket 54 mm outer dia SS pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,955.00,,
3891,Elbow 90° for 15 mm outer dia SS pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,305.00,,
3892,Elbow 90° for 22 mm outer dia SS pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,430.00,,
3893,Elbow 90° for 28 mm outer dia SS pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,575.00,,
3894,Elbow 90° for 35 mm outer dia SS pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,940.00,,
3895,Elbow 90° for 42 mm outer dia SS pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,1520.00,,
3896,Elbow 90° for 54 mm outer dia SS pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,2010.00,,
3897,Equal Tee for 15 mm outer dia SS pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,500.00,,
3898,Equal Tee for 22 mm outer dia SS pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,585.00,,
3899,Equal Tee for 28 mm outer dia SS pipe of grade 316L as per,,,,
,IS 6911:2017 and conforming to EN-10312 standard,each,720.00,,
No.,,,as on or just before 01.04.2021,,
3900,Equal Tee for 35 mm outer dia SS pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,895.00,,
3901,Equal Tee for 42 mm outer dia SS pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,1250.00,,
3902,Equal Tee for 54 mm outer dia SS pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,1500.00,,
3903,Reducing Tee for 22 mm X 15 mm outer dia SS pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,575.00,,
3904,Reducing Tee for 28 mm X 15 mm outer dia SS pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,715.00,,
3905,Reducing Tee for 28 mm X 22 mm outer dia SS pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,710.00,,
3906,Reducing Tee for 35 mm X 15 mm outer dia SS pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,900.00,,
3907,Reducing Tee for 35 mm X 22 mm outer dia SS pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,905.00,,
3908,Reducing Tee for 35 mm X 28 mm outer dia SS pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,915.00,,
3909,Reducing Tee for 42 mm X 22 mm outer dia SS pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,1280.00,,
3910,Reducing Tee for 42 mm X 28 mm outer dia SS pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,1265.00,,
3911,Reducing Tee for 42 mm X 35 mm outer dia SS pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,1290.00,,
3912,Reducing Tee for 54 mm X 22 mm outer dia SS pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,1500.00,,
3913,Reducing Tee for 54 mm X 28 mm outer dia SS pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,1540.00,,
3914,Reducing Tee for 54 mm X 35 mm outer dia SS pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,1550.00,,
3915,Reducing Tee for 54 mm X 42 mm outer dia SS pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,1570.00,,
3916,"Stainless steel Female thread Tee for 15 mm outer dia X 1/2"" nominal dia threaded of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard",each,560.00,,
3917,"Stainless steel Female thread Tee for 22 mm outer dia X 1/2"" nominal dia threaded of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard",each,615.00,,
3918,"Stainless steel Female thread Tee for 22 mm outer dia X 3/4"" nominal dia threaded of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard",each,690.00,,
No.,,,as on or just before 01.04.2021,,
3919,"Stainless steel Female thread Tee for 28 mm outer dia X 1/2"" nominal dia threaded of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard",each,730.00,,
3920,"Stainless steel Female thread Tee for 28 mm outer dia X 3/4"" nominal dia threaded of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard",each,755.00,,
3921,"Stainless steel Female thread Tee for 28 mm outer dia X 1"" nominal dia threaded of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard",each,840.00,,
3922,"Stainless steel Female thread Tee for 35 mm outer dia X 1/2"" nominal dia threaded of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard",each,845.00,,
3923,"Stainless steel Female thread Tee for 35 mm outer dia X 1-1/4"" nominal dia threaded of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard",each,1159.00,,
3924,"Stainless steel Female thread Tee for 42 mm outer dia X 1-1/4"" nominal dia threaded of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard",each,1346.00,,
3925,"Stainless steel Female thread Tee for 54 mm outer dia X 1-1/2"" nominal dia threaded of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard",each,1920.00,,
3926,"Stainless steel Female thread Tee for 54 mm outer dia X 2"" nominal dia threaded of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard",each,2307.00,,
3927,"Stainless steel Female threaded Connector/Adapter for 15 mm outer dia X 1/2"" nominal dia threaded of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard",each,440.00,,
3928,"Stainless steel Female threaded Connector/Adapter for 22 mm outer dia X 1/2"" nominal dia threaded of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard",each,495.00,,
3929,"Stainless steel Female threaded Connector/Adapter for 22 mm outer dia X 3/4"" nominal dia threaded of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard",each,580.00,,
3930,"Stainless steel Female threaded Connector/Adapter for 28 mm outer dia X 1"" nominal dia threaded of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard",each,955.00,,
3931,"Stainless steel Female threaded Connector/Adapter for 35 mm outer dia X 1-1/4"" nominal dia threaded of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard",each,1020.00,,
3932,"Stainless steel Female threaded Connector/Adapter for 42 mm outer dia X 1-1/2"" nominal dia threaded of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard",each,1565.00,,
No.,,,as on or just before 01.04.2021,,
3933,"Stainless steel Female threaded Connector/Adapter for 54 mm outer dia X 2"" nominal dia threaded of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard",each,2400.00,,
3934,"Stainless steel Male threaded Connector/ Adapter for 15 mm outer dia X 1/2"" nominal dia threaded of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard",each,405.00,,
3935,"Stainless steel Male threaded Connector/ Adapter for 22 mm outer dia X 1/2"" nominal dia threaded of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard",each,480.00,,
3936,"Stainless steel Male threaded Connector/ Adapter for 22 mm outer dia X 3/4"" nominal dia threaded of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard",each,505.00,,
3937,"Stainless steel Male threaded Connector/ Adapter for 28 mm outer dia X 1"" nominal dia threaded of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard",each,665.00,,
3938,"Stainless steel Male threaded Connector/ Adapter for 35 mm outer dia X 1-1/4"" nominal dia threaded of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard",each,970.00,,
3939,"Stainless steel Male threaded Connector/ Adapter for 42 mm outer dia X 1-1/2"" nominal dia threaded of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard",each,1415.00,,
3940,"Stainless steel Male threaded Connector/ Adapter for 54 mm outer dia X 2"" nominal dia threaded of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard Female Threaded Elbow 90°",each,1895.00,,
3941,"SS Female Threaded Elbow 90° for 15 mm outer dia X 1/2"" nominal dia threaded of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard",each,640.00,,
3942,"SS Female Threaded Elbow 90° for 22 mm outer dia X 3/4"" nominal dia threaded of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard",each,860.00,,
3943,"SS Female Threaded Elbow 90° for 28 mm outer dia X 1"" nominal dia threaded of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard",each,1180.00,,
3944,"SS Female Threaded Elbow 90° for 35 mm outer dia X 1-1/4"" nominal dia threaded of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard",each,1917.00,,
3945,"SS Female Threaded Elbow 90° for 42 mm outer dia X 1-1/2"" nominal dia threaded of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard",each,2088.00,,
3946,"SS Female Threaded Elbow 90° for 54 mm outer dia X 2"" nominal dia threaded of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard",each,3227.00,,
No.,,,as on or just before 01.04.2021,,
3947,"SS Male Threaded Elbow 90° for 15 mm outer dia X 1/2"" nominal dia threaded of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard",each,525.00,,
3948,"SS Male Threaded Elbow 90° for 22 mm outer dia X 3/4"" nominal dia threaded of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard",each,790.00,,
3949,"SS Male Threaded Elbow 90° for 28 mm outer dia X 1"" nominal dia threaded of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard",each,1045.00,,
3950,"SS Male Threaded Elbow 90° for 35 mm outer dia X 1-1/4"" nominal dia threaded of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard",each,1440.00,,
3951,"SS Male Threaded Elbow 90° for 42 mm outer dia X 1-1/2"" nominal dia threaded of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard",each,2635.00,,
3952,"SS Male Threaded Elbow 90° for 54 mm outer dia X 2"" nominal dia threaded of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard",each,2998.00,,
3953 I,Stainless steel Cap for 15 mm outer dia pipe of grade 316L as per S 6911:2017 and conforming to EN-10312 standard,each,320.00,,
3954,Stainless steel Cap for 22 mm outer dia pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,415.00,,
3955,Stainless steel Cap for 28 mm outer dia pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,515.00,,
3956,Stainless steel Cap for 35 mm outer dia pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,720.00,,
3957,Stainless steel Cap for 42 mm outer dia pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,1565.00,,
3958,Stainless steel Cap for 54 mm outer dia pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,1720.00,,
3959,Stainless steel Pipe Bridge for 15 mm outer dia pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,415.00,,
3960,Stainless steel Pipe Bridge for 22 mm outer dia pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,1110.00,,
3961,Stainless steel Pipe Bridge for 28 mm outer dia pipe of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard,each,1526.00,,
3962,"SS Male Union for 15 mm outer dia X 1/2"" nominal dia threaded of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard",each,885.00,,
3963,"SS Male Union for 22 mm outer dia X 1/2"" nominal dia threaded of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard",each,895.00,,
No.,,,as on or,,
,,,just before 01.04.2021,,
3964,"SS Male Union for 22 mm outer dia X 3/4"" nominal dia threaded of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard",each,1025.00,,
3965,"SS Male Union for 28 mm outer dia X 1"" nominal dia threaded of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard",each,1805.00,,
3966,"SS Male Union for 35 mm outer dia X 1-1/4"" nominal dia threaded of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard",each,1885.00,,
3967,"SS Male Union for 42 mm outer dia X 1-1/2"" nominal dia threaded of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard",each,2130.00,,
3968,"SS Male Union for 54 mm outer dia X 2"" nominal dia threaded of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard",each,3680.00,,
3969,"SS Female Union for 22 mm outer dia X 3/4"" nominal dia threaded of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard",each,950.00,,
3970,"SS Female Union for 28 mm outer dia X 1"" nominal dia threaded of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard",each,1280.00,,
3971,"SS Female Transition Elbow/ FTE for 15 mm outer dia X 1/2"" nominal dia threaded of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard",each,649.00,,
3972,"SS Female Transition Elbow/ FTE for 22 mm outer dia X 1/2"" nominal dia threaded of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard",each,900.00,,
3973,"SS Female Transition Elbow/ FTE for 22 mm outer dia X 3/4"" nominal dia threaded of grade 316L as per IS 6911:2017 and conforming to EN-10312 standard",each,870.00,,
6501,Sand zone V (Jamuna),cum,1300.00,,
7257,C.P. Brass bibcock 15 mm,each,300.00,,
7258,C.P. Brass long nose bibcock 15 mm,each,500.00,,
7259,C.P. Brass long body bibcock 15 mm,each,500.00,,
7260,C.P. Brass stop cock (concealed) 15 mm,each,420.00,,
7261,C.P. Brass angle valve 15 mm,each,350.00,,
7400,15 mm PTMT bib cock,each,65.00,,
7401,15 mm PTMT bib cock with flange (fancy),each,90.00,,
7402,15 mm PTMT bib cock long body with flange,each,100.00,,
7403,15 mm dia PTMT stop cock (male thread),each,60.00,,
7405,20 mm dia PTMT stop cock,each,68.00,,
7406,PTMT pillar cock,each,115.00,,
No.,,,as on or,,
,,,just before 01.04.2021,,
