0383,Brass butt hinges (heavy type) : 100x85x5.5 mm(0.56 kg),10 Nos,997.00,,,
No.,,,as on or,,,
,,,just before 01.04.2021,,,
0384,Brass butt hinges (heavy type) :75x65x4.0 mm (weighing not less than 0.20 kg),10 Nos,838.00,,,
0385,Brass parliamentary hinges 150x125x27x5 mm,10 Nos,2610.00,,,
0386,Brass parliamentary hinges 125x125x27x5 mm,10 Nos,2300.00,,,
0387,Brass parliamentary hinges 100x125x27x5 mm,10 Nos,2090.00,,,
0388,Brass parliamentary hinges 75x100x20x3.2 mm,10 Nos,1870.00,,,
0400,Brass tower bolt (barrel type) 250x10 mm,each,257.00,,,
0401,Brass tower bolt (barrel type) 200x10 mm,each,205.00,,,
0402,Brass tower bolt (barrel type) 150x10 mm,each,154.00,,,
0403,Brass tower bolt (barrel type) 100x10 mm,each,103.00,,,
0408,Brass handles 125 mm with plate 175x32 mm,each,144.00,,,
0409,Brass handles 100 mm with plate 150x32 mm,each,133.00,,,
0410,Brass handles 75 mm with plate 125x32 mm,each,103.00,,,
0411,Brass door latch 300x16x5 mmweighing not less than 0.380 kg,each,185.00,,,
0412,Brass door latch 250x16x5 mm weighing not less than 0.350 kg,each,175.00,,,
0413,Brass mortice latch and lock 100x65 mm with 6 levers and a pair of brass lever handles,each,400.00,,,
0414,Brass mortice latch 100x65mm with a pair of brass lever handles,each,310.00,,,
0423,Brass casement window fastener,each,45.00,,,
0424,Brass casement stays (straight peg type) 300 mm weighing not less than 0.33 kg,each,126.00,,,
0425,Brass casement stays (straight peg type) 250 mm weighing not less than 0.28 kg,each,100.00,,,
0426,Brass casement stays (straight peg type) 200 mm weighing not less than 0.24 kg,each,95.00,,,
0431,Brass hasps and staples (safety type) 150 mm,10 Nos,740.00,,,
0432,Brass hasps and staples (safety type) 115 mm,10 Nos,670.00,,,
0433,Brass hasps and staples (safety type) 90 mm,10 Nos,575.00,,,
0438,Brass night latch,each,610.00,,,
0447,Brass cupboard knob or wardrobe knob 50 mm,each,36.00,,,
0449,Brass screws 50 mm,100 Nos,220.00,,,
0450,Brass screws 40 mm,100 Nos,170.00,,,
0451,Brass screws 30 mm,100 Nos,140.00,,,
0452,Brass screws 25 mm,100 Nos,100.00,,,
0453,Brass screws 20 mm,100 Nos,95.00,,,
0552,75mm SS fancy handles for kitchen cabinet,10 Nos.,255.00,,,
0553,100mm SS fancy handles for kitchen cabinet,10 Nos,455.00,,,
0554,125mm SS fancy handles for kitchen cabinet,10 Nos,640.00,,,
0555,Chromium plated Brass handles 125 mm with plate 175 x32 mm,each,160.00,,,
No.,,,as on or,,,
,,,just before 01.04.2021,,,
0556,Chromium plated Brass handles 100 mm with plate 150 x 32 mm,each,140.00,,,
0557,Chromium plated Brass handles 75mm with plate 125x32 mm,each,125.00,,,
0558,Chromium plated Brass mortice latch and lock 100x65 mm with 6 levers and a pair of brass lever handles,each,470.00,,,
0568,Chromium plated brass casement window fastener,each,90.00,,,
0569,Chromium plated Brass casement stays (straight peg type) 300 mm weighing not less than 0.33 kg,each,140.00,,,
0570,Chromium plated Brass casement stays (straight peg type) 250 mm weighing not less than 0.28 kg,each,120.00,,,
0571,Chromium plated Brass casement stays (straight peg type) 200 mm weighing not less than 0.24 kg,each,100.00,,,
0583,Chromium plated Brass Night latch,each,500.00,,,
0584,Chromium plated Brass Wardrobe Knob 50 mm,each,80.00,,,
0585,Chromium plated Brass screws 50 mm,100 Nos,300.00,,,
0586,Chromium plated Brass screws 40 mm,100 Nos,290.00,,,
0587,Chromium plated Brass screws 30 mm,100 Nos,240.00,,,
0588,Chromium plated Brass screws 25 mm,100 Nos,180.00,,,
0589,Chromium plated Brass screws 20 mm,100 Nos,160.00,,,
0590,Chromium plated Brass curtain rod 12 mm dia 1.25mm thick,metre,185.00,,,
0591,Chromium plated Brass curtain rod 20 mm dia 1.25mm thick,metre,260.00,,,
0592,Chromium plated Brass curtain rod 25 mm dia 1.25mm thick,metre,340.00,,,
0594,Bright finished or black enameled ISI marked IS : 1341 mild steel pressed butt hinges 125x65x2.12 mm,10 Nos,135.00,,,
0595,Bright finished or black enameled ISI marked IS : 1341 mild steel pressed butt hinges 100x58x1.90 mm,10 Nos,80.00,,,
0596,Bright finished or black enameled ISI marked IS : 1341 mild steel pressed butt hinges 75x47x1.70 mm,10 Nos,56.00,,,
0597,Bright finished or black enameled ISI marked IS : 1341 mild steel pressed butt hinges 50x37x1.50 mm,10 Nos,49.00,,,
0608,Nickel plated bright finished mild steel piano hinges 1 mm thick 25 mm wide,metre,39.00,,,
0635,Bright finished or black enameled mild steel screws 50 mm,100 Nos,75.00,,,
0637,Bright finished or black enameled mild steel screws 40 mm,100 Nos,60.00,,,
0638,Bright finished or black enameled mild steel screws 30 mm,100 Nos,45.00,,,
0639,Bright finished or black enameled mild steel screws 25 mm,100 Nos,40.00,,,
0640,Bright finished or black enameled mild steel screws 20 mm,100 Nos,35.00,,,
0641,Bright finished or black enameled mild steel bolts and nuts 50x6 mm,each,5.00,,,
0642,Oxidised mild steel butt hinges 125x65x2.12 mm,10 Nos,125.00,,,
0643,Oxidised mild steel butt hinges 100x58x1.90 mm,10 Nos,90.00,,,
No.,,,as on or,,,
,,,just before 01.04.2021,,,
0644,Oxidised mild steel butt hinges 75x47x1.70 mm,10 Nos,65.00,,,
0645,Oxidised mild steel butt hinges 50x37x1.50 mm,10 Nos,55.00,,,
0646,Oxidised mild steel parliamentary hinges 150x125x27x2.8 mm,10 Nos,335.00,,,
0647,Oxidised mild steel parliamentary hinges 125x125x27x2.8 mm,10 Nos,300.00,,,
0648,Oxidised mild steel parliamentary hinges 100x125x27x2.8 mm,10 Nos,235.00,,,
0649,Oxidised mild steel parliamentary hinges 75x100x20x2.24 mm,10 Nos,200.00,,,
0650,Oxidised mild steel single acting spring hinges 150 mm,each,140.00,,,
0651,Oxidised mild steel single acting spring hinges 125 mm,each,120.00,,,
0652,Oxidised mild steel single acting spring hinges 100 mm,each,100.00,,,
0653,Oxidised mild steel double acting spring hinges 150 mm,each,160.00,,,
0654,Oxidised mild steel double acting spring hinges 125 mm,each,140.00,,,
0655,Oxidised mild steel double acting spring hinges 100 mm,each,120.00,,,
0656,Nickel plated mild steel piano hinges 1 mm thick 35 mm wide,metre,40.00,,,
0660,Oxidised mild steel sliding door bolt 300x16 mm,each,90.00,,,
0661,Oxidised mild steel sliding door bolt 250x16 mm,each,80.00,,,
0662,Oxidised mild steel door latch 300x20x6 mm,each,49.00,,,
0663,Oxidised mild steel door latch 250x20x6 mm,each,39.00,,,
0664,Oxidised mild steel tower bolt (barrel type) 250x10 mm,each,43.00,,,
0665,Oxidised mild steel tower bolt (barrel type) 200x10 mm,each,34.00,,,
0666,Oxidised mild steel tower bolt (barrel type) 150x10 mm,each,29.00,,,
0667,Oxidised mild steel tower bolt (barrel type) 100x10 mm,each,20.00,,,
0668,Oxidised mild steel handles 125 mm,each,20.00,,,
0669,Oxidised mild steel handles 100 mm,each,15.00,,,
0670,Oxidised mild steel handles 75 mm,each,12.00,,,
0679,Oxidised mild steel hasps and staples (safety type) 150 mm,10 Nos,128.00,,,
0680,Oxidised mild steel hasps and staples (safety type) 115 mm,10 Nos,108.00,,,
0681,Oxidised mild steel hasps and staples (safety type) 90 mm,10 Nos,79.00,,,
0682,Oxidised mild steel screws 50 mm,100 Nos,76.00,,,
0683,Oxidised mild steel screws 40 mm,100 Nos,62.00,,,
0684,Oxidised mild steel screws 30 mm,100 Nos,49.00,,,
0685,Oxidised mild steel screws 25 mm,100 Nos,36.00,,,
0686,Oxidised mild steel screws 20 mm,100 Nos,32.00,,,
0687,Anodised Aluminium butt hinges 125x75x4 mm,10 Nos,560.00,,,
0688,Anodised Aluminium butt hinges 125x63x4 mm,10 Nos,393.00,,,
0689,Anodised Aluminium butt hinges 100x75x4 mm,10 Nos,393.00,,,
0690,Anodised Aluminium butt hinges 100x63x3.2 mm,10 Nos,270.00,,,
0691,Anodised Aluminium butt hinges 100x63x4 mm,10 Nos,324.00,,,
0692,Anodised Aluminium butt hinges 75x63x4 mm,10 Nos,275.00,,,
No.,,,as on or just before 01.04.2021,,,
0693,Anodised Aluminium butt hinges 75x63x3.2 mm,10 Nos,226.00,,,
0694,Anodised Aluminium butt hinges 75x45x3.2 mm,10 Nos,196.00,,,
0696,Anodised Aluminium sliding door bolt 300x16 mm,each,147.00,,,
0697,Anodised Aluminium sliding door bolt 250x16 mm,each,128.00,,,
0698,Anodised Aluminium tower bolt (barrel type) 300x10 mm,10 Nos,580.00,,,
0699,Anodised Aluminium tower bolt (barrel type) 250x10 mm,10 Nos,481.00,,,
0700,Anodised Aluminium tower bolt (barrel type) 200x10 mm,10 Nos,383.00,,,
0701,Anodised Aluminium tower bolt (barrel type) 150x10 mm,10 Nos,304.00,,,
0702,Anodised Aluminium tower bolt (barrel type) 100x10 mm,10 Nos,226.00,,,
0703,Anodised Aluminium handles 125 mm with plate 175 x 32 mm,10 Nos,324.00,,,
0704,Anodised Aluminium handles 100 mm with plate 150 x 32 mm,10 Nos,275.00,,,
0705,Anodised Aluminium handles 75mm with plate 125 x 32 mm,10 Nos,231.00,,,
0706,Anodised Aluminium kicking plate 50 cm long 100x3.15 mm,each,142.00,,,
0713,Block board construction flush door with teak wood ply on both faces 35 mm thick,sqm,1800.00,,,
0714,Block board construction flush door with teak wood ply on both faces 30 mm thick,sqm,1600.00,,,
0715,Block board construction flush door with teak wood ply on both faces 25 mm thick,sqm,1400.00,,,
0717,Block board construction flush door with commercial ply on both faces 35 mm thick,sqm,1000.00,,,
0718,Block board construction flush door with commercial ply on both faces 30 mm thick,sqm,900.00,,,
0719,Block board construction flush door with commercial ply on both faces 25 mm thick,sqm,890.00,,,
0752,Block board construction flush door lipping 25 mm thick,sqm of door area,300.00,,,
0753,Square vision panel in Block board construction flush door not exceeding 0.10 sqm,sqm of door area,130.00,,,
0754,Circular vision panel in Block board construction flush door,sqm of door area,135.00,,,
0755,Decorative type louvers in Block board construction flush door,sqm of door area,265.00,,,
0757,Rebate cutting in block board construction flush door,sqm of door area,70.00,,,
0759,Decorative plywood 4 mm,sqm,320.00,,,
0763,Glue,kg,75.00,,,
0834,Synthetic enamel paint in all shades except black or chocolate shade,litre,165.00,,,
0869,Plaster of Paris,kg,5.00,,,
1003,Mild steel round bar above 12 mm dia,quintal,4750.00,,,
_SUB HEA_,156 _D : 9.0 WOOD AND P.V.C. WORK_,,,,,
No.,,,as on or,,,
,,,just before 01.04.2021,,,
1008,Flats up to 10 mm in thickness,quintal,4850.00,,,
1015,Mild steel expanded metal 20x60 mm strands 3.25 mm wide 1.60 mm thick,sqm,280.00,,,
1021,Hard drawn steel wire fabric 75 x 25 mm mesh of weight not less than 7.75 kg/sqm,sqm,430.00,,,
1022,Galvanised steel bolts & nuts 6 mm dia and 25 mm long round head with slots,10 Nos,38.00,,,
1189,Second class teak wood in scantling,10 cudm,776.00,,,
1190,Second class teak wood in planks,10 cudm,791.00,,,
1199,Sal wood in scantling,10 cudm,600.00,,,
1200,Kiln seasoned selected sheesham wood planks,10 cudm,650.00,,,
1211,G.I. plain washer for seam bolts,100 Nos,32.00,,,
1231,Extra for selected planks of second class teakwood,10 cudm,150.00,,,
1238,Extra for selected planks of first class teakwood,10 cudm,150.00,,,
2204,Carriage of Timber,cum,187.35,,,
2205,Carriage of Steel,tonne,145.72,,,
2206,Carriage of Stone aggregate 40 mm nominal size and above,cum,178.19,,,
2207,Carriage of Brick tiles,1000 Nos,262.29,,,
2406,Float glass panes of nominal thickness 4 mm (weight not less than 10 kg/sqm),sqm,309.00,,,
2407,Float glass panes of nominal thickness 5 mm (weight not less than 12.50 kg/sqm),sqm,515.00,,,
2412,Ply wood 5 ply with commercial ply on both faces 6 mm thick,sqm,306.00,,,
2413,12 mm commercial ply,sqm,510.00,,,
2414,18 mm thick block board with commercial ply veneering on both side,sqm,775.00,,,
2449,"Oxidised mild steel pull bolt lock (locking bolt) of size 85 mm x 42 mm with screws, bolts, nuts and washers complete",each,62.00,,,
2451,"Brass cupboard lock 6 levers of approved quality, 40 mm size",each,57.00,,,
2452,"Brass cupboard lock 6 levers of approved quality, 50 mm size",each,88.00,,,
2453,"Brass cupboard lock 6 levers of approved quality, 65 mm size",each,93.00,,,
2454,"Brass cupboard lock 6 levers of approved quality, 75 mm size",each,108.00,,,
2455,Brass hanging type door stopper 150 mm,each,77.00,,,
2456,Hydraulic door closer bottle type M.S. body with necessary accessories and screws complete,each,686.00,,,
2459,Anodised Aluminium hanging type door stopper,each,20.00,,,
2464,"Anodised Aluminium pull bolt lock (locking bolt) of size 85 mm x 42 mm with screws, bolts, nuts and washers complete",each,48.00,,,
2465,Anodised Aluminium Casement stay 250 mm,each,33.00,,,
2466,Hollock wood in scantling,10 cudm,357.00,,,
No.,,,as on or,,,
,,,just before 01.04.2021,,,
2468,Nickled Chromium Brass cupboard lock 40 mm size,each,63.00,,,
2469,Nickled Chromium Brass cupboard lock 50 mm size,each,73.00,,,
2470,Nickled Chromium Brass cupboard lock 65 mm size,each,99.00,,,
2471,Nickled Chromium Brass cupboard lock 75 mm size,each,125.00,,,
2480,Ply wood 5 ply with teak ply on both faces 9 mm thick,sqm,884.00,,,
2481,Ply wood 5 ply with teak ply on one face and commercial ply on another face 9 mm thick,sqm,905.00,,,
2483,Ply wood 7 ply with teak ply on one face and commercial ply on another face 9 mm thick,sqm,1010.00,,,
2484,Pre-laminated with decorative lamination on both side exterior Grade-I MDF Board 12 mm thick confirming to IS:14587,sqm,469.00,,,
2485,Pre-laminated with decorative lamination on both side exterior Grade-I MDF Board 18 mm thick confirming to IS:14587,sqm,609.00,,,
2486,Pre-laminated with decorative lamination one side and other side balancing lamination exterior Grade-I MDF Board 25 mm thick confirming to IS: 14587,sqm,877.00,,,
2487,Pre-laminated with decorative lamination one side and other side balancing lamination exterior Grade-I MDF Board 12 mm thick confirming to IS:14587,sqm,439.00,,,
2488,Pre-laminated with decorative lamination one side and other side balancing lamination exterior Grade-I MDF Board 18 mm thick confirming to IS:14587,sqm,582.00,,,
2489,PVC edge bending tape 2.00 mm thick,metre,21.00,,,
2495,18mm thick both sides Pre-laminated cement bonded wood particle board as per IS : 15786:2008,sqm,650.00,,,
2496,6mm thick both sides Pre-laminated cement bonded wood particle board as per IS : 15786:2008,sqm,455.60,,,
2497,19mm thick prelaminated ply,sqm,1500.00,,,
2498,19mm thick both side balancing lamination factory pressed BWP grade marine ply as per IS 710,sqm,1450.00,,,
2504,Kiln seasoning of timber,cum,772.00,,,
2505,Hollock wood in planks,10 cudm,402.00,,,
2640,Glass panes of required thickness having 120 minutes of fire resis- tance both integrity and radiation control (EI 120) and minimum 20 minutes of insulation (EI 20),sqm,25500.00,,,
2641,G.I U beading of 1.6 mm thick G.I sheet with ceramic tape.,metre,250.00,,,
2642,Ceramic tape 5 x20 mm size,metre,400.00,,,
3991,"Galvanized iron (1.6 ± 0.2 mm) thick reinforcement for small series casement window/door frame, sash, mullion & small series sliding window frame",metre,70.00,,,
3992,"Galvanized iron (1.6 ± 0.2 mm) thick reinforcement for big series casement window/door frame, sash, mullion, big & small series sliding window frame",metre,75.00,,,
No.,,,as on or,,,
,,,just before 01.04.2021,,,
3993,Galvanized iron (1.6 ± 0.2 mm) thick reinforcement for big series casement door sash,metre,100.00,,,
3994,Galvanized iron (1.6 ± 0.2 mm) thick reinforcement for big series sliding window / door sash,metre,90.00,,,
3995,G.I fasteners 100 x 8 mm,each,15.00,,,
7001,Brass 100mm mortice latch and lock with 6 levers without pair of handles,each,195.00,,,
7003,Pair of Anodised Aluminium lever handles for 100 mm mortice latch and lock,each,215.00,,,
7009,12.5 mm thick tapered edge plain gypsum plaster borad confirming to IS 2095 (Part 1):2011,sqm,140.00,,,
7018,Joint tape roll,roll,90.00,,,
7019,Dash fastener / Chemical fastener,each,12.50,,,
7020,All drive screws (for gypsum board),100 Nos,58.00,,,
7021,Primer (for gypsum board),litre,70.00,,,
7023,Chromium plated brackets (curtain rods),each,8.00,,,
7029,Galvanised wire mesh of average width of aperture 1.4 mm and nominal dia of wire 0.63 mm,sqm,250.00,,,
7032,Frosted glass sheet of nominal thickness 4 mm (weighing not less than 10 kg/sqm),sqm,420.00,,,
7033,Nickel plated M.S. pipe 25 mm dia,metre,76.00,,,
7034,Nickel plated M.S. pipe 20 mm dia,metre,72.00,,,
7035,Nickel plated M.S. Brackets for curtain rod 20 mm,each,7.00,,,
7036,Nickel plated M.S - Brackets for curtain rod 25 mm,each,8.00,,,
7040,Oxidised mild steel screws 35 mm,100 Nos,48.00,,,
7042,Mild steel conduit pipe (heavy type) ISI marked-20 mm dia,metre,42.00,,,
7043,Mild steel conduit pipe (heavy type) ISI marked-25 mm dia,metre,54.00,,,
7048,Rawl plug 50 mm (designation 10 nos),each,22.00,,,
7049,Teak wood lipping of size 25x3 mm in pelmets,metre,12.00,,,
7055,Flat pressed 3 layer or graded plain particle board (medium density) Grade 1 conforming to IS : 3087 - 18 mm thick,sqm,430.00,,,
7059,Aluminium hanging floor door stopper with twin rubber & stopper,each,40.00,,,
7060,Hydraulic door closer tubular type Aluminium section body,each,560.00,,,
7063,Oxidised M.S.casement stay (straight peg type) 300 mm not less than 330 gm,each,35.00,,,
7064,Oxidised M.S.casement stay (straight peg type) 250 mm not less than 280 gm,each,30.00,,,
7065,Oxidised M.S. casement stay (straight peg type) 200 mm not less,,,,,
,than 240 gm,each,25.00,,,
No.,,,as on or just before 01.04.2021,,,
7137,"Factory made 35 mm thick shutters with laminated veneer lumber styles & rails as per TADS 15:1995 and panels of 12 mm thick plain type-I, medium density flat pressed three layer, graded par- ticle board (FPT-I) as per IS:3087 bonded with BWP type synthetic",,,,,
,"resin adhesive, as per IS:848",sqm,1620.00,,,
7139,"Factory made 35 mm thick shutters with laminated veneer lumber styles & rails as per TADS 15:1995 and panels of 12 mm thick both sides prelaminated type-I, medium density flat pressed three layer, graded particle board (FPT-I) as per IS:3087 bonded with",,,,,
,"BWP type synthetic resin adhesive, as per IS:848",sqm,1720.00,,,
7143,"Factory made 35 mm thick shutters with laminated veneer lumber styles & rails as per TADS 15:1995 and panels of 12 mm thick one side prelaminated type-I, and other side balancing lamination, me- dium density flat pressed three layer, graded particle board (FPT-I) as per IS:3087 bonded with BWP type synthetic resin adhesive, as per IS:848",sqm,1910.00,,,
7151,Factory made 30 mm thick shutters with laminated veneer lumber styles & rails as per TADS 15:1995 and panels of sheet glass using 10 kg/ sqm glass panes,sqm,1620.00,,,
7154,Factory made 35 mm thick shutters with laminated veneer lumber styles & rails as per TADS 15:1995 and panels of galvanised wire gauge with average width of aperture 1.4 mm in both directions with wire of dia 0.63 mm,sqm,1620.00,,,
7155,Factory made 30 mm thick shutters with laminated veneer lumber styles & rails as per TADS 15:1995 and panels of galvanised wire gauge with average width of aperture 1.4 mm in both directions with wire of dia 0.63 mm,sqm,1430.00,,,
7157,"Laminated veneer lumber confirming to TADS 15:1995 manufactured in factory in frames of doors, windows",10 cudm,700.00,,,
7184,Oxidised M.S. safety chain (weighing not less than 450 gms) for door,each,57.00,,,
7269,25 mm thick particle board,sqm,435.00,,,
7271,Second class teak wood lipping 25 mm wide x 12 mm thick,metre,28.00,,,
7272,25 mm thick melamine faced prelaminated flat pressed three layer particle board,sqm,900.00,,,
7307,For flush door shutters Extra for providing teak veneering on one side instead of commercial veneering,sqm,305.00,,,
7312,Expandable fastener with plastic sleeve and M.S. screws : 25 mm long,each,10.00,,,
7313,Expandable fastener with plastic sleeve and M.S. screws : 32 mm long,each,10.00,,,
7314,Expandable fastener with plastic sleeve and M.S. screws :,,,,,
,40 mm long,each,13.00,,,
No.,,,as on or,,,
,,,just before 01.04.2021,,,
7315,Expandable fastener with plastic sleeve and M.S. screws. 50 mm long,each,14.00,,,
7349,12 mm M.S. 'U' beading,metre,14.00,,,
7366,Glass reinforced Gypsum ( GRG) plaster board 12.5 mm thick confirming to IS 2095 (Part 3):1996,sqm,240.00,,,
7367,Galvanised M.S. sheet 0.5 mm thick pressed channel section of size 50x32 mm,metre,60.00,,,
7369,Galvanised M.S. sheet 0.50 mm thick pressed stud : 48x34x36 mm,metre,70.00,,,
7388,"Dash hold fastener 12.5 mm dia, 50 mm long with 6 mm dia bolt",each,10.00,,,
7390,EPDM Gasket for uPVC window/door,metre,15.00,,,
7443,Aluminium single cleat of size 30x32x3 mm,each,14.00,,,
7444,Aluminium grip strip of size 50x12x2 mm,each,11.00,,,
7445,25 mm thick prelaminated flush door shutter both side decorative,sqm,800.00,,,
7449,Aluminium U beading,kg,210.00,,,
7451,Glass sheet (Pin headed) 4 mm thick,sqm,345.00,,,
7468,Veneered particle board with commercial veneering on both sides 12 mm thick,sqm,480.00,,,
7477,"Prelaminated particle board with one side decorative and other side balancing lamination, flat pressed 3 layer & graded (medium density) Grade i, Type II conforming to IS : 12823 (exterior grade) 12 mm thick",sqm,500.00,,,
7478,"Prelaminated particle board with one side decorative and other side balancing lamination, flat pressed 3 layer & graded (medium density) Grade I, Type II conforming to IS : 12823 (exterior grade) 18 mm thick",sqm,560.00,,,
7479,"Prelaminated particle board with one side decorative and other side balancing lamination, flat pressed 3 layer & graded (medium density) Grade I, Type II conforming to IS : 12823 (exterior grade) 25 mm thick",sqm,850.00,,,
7480,"Prelaminated particle board with both sides decorative lamination, flat pressed 3 layer & graded (medium density) Grade I, Type II conforming to IS : 12823 (exterior grade) 12 mm thick",sqm,490.00,,,
7485,Oxidised M. S. hinges finished with nickel plating 50 mm (Over all width),metre,40.00,,,
7486,Oxidised M. S. hinges finished with nickel plating 65 mm (Over all width),metre,52.00,,,
7512,PTMT handle 125x34x24 mm,each,20.00,,,
7513,PTMT handle 150x34x24 mm,each,20.00,,,
7514,PTMT butt hinges 75x60x10 mm,each,29.00,,,
7515,PTMT butt hinges 100x75x10 mm,each,36.00,,,
7516,PTMT Tower bolt 152x42x18 mm,each,35.00,,,
7517,PTMT Tower bolt 202x42x18 mm,each,58.00,,,
No.,,,as on or just before 01.04.2021,,,
7518,PTMT door catcher 72x42 mm,each,22.00,,,
7552,Coir veneered board 4 mm thick,sqm,260.00,,,
7553,Coir veneered board 6 mm thick,sqm,350.00,,,
7555,Coir veneered board 12 mm thick,sqm,625.00,,,
7556,Coir veneered board 18 mm thick,sqm,930.00,,,
8001,"24 mm thick Factory made shutters with style, rails and panels of PVC extruded sections in white, grey or wooden finish",sqm,1085.93,,,
8002,"30 mm thick Factory made shutters with style, rails and panels of PVC extruded sections in white, grey or wooden finish",sqm,1248.82,,,
8003,Factory made PVC rigid foam panelled shutter i/c carriage,sqm,1547.45,,,
8004,Factory made PVC rigid foam panelled shutter as per IS : 4020 i/c carriage,sqm,1547.45,,,
8006,Factory made PVC rigid foam sheet 1 mm thick,sqm,155.80,,,
8010,"48mmX40mmX1.5mm thick Factory made door frame of PVC extruded sections in white, grey or wooden finish",metre,130.00,,,
8011,Factory made door frame PVC extruded sheet i/c carriage,metre,260.00,,,
8014,Factory made door frame of size 50x47 mm with wall thickness 5 mm made of single piece extruded profile,metre,298.74,,,
8016,High Density expanded poly ethylene (EPE) Foam 1mm thick,sqm,10.00,,,
8017,Fire rated door frame made with 1.6 mm thick G.I sheet (120 minutes fire rating),metre,1200.00,,,
8018,Fire rated door shutter made with 1.6 mm thick G.I sheet (120 minutes fire rating) including hinges ( without glass panels),sqm,6000.00,,,
8100,Powder coated M.S. butt hinges 100 mm X58 mmX1.9 mm,10 Nos,130.00,,,
8101,SS ball bearing of size 100 x89x3mm,each,450.00,,,
8116,Zinc alloy (white powder coated) 3D Hinges for uPVC door,each,455.00,,,
8117,"Zinc alloy (white powder coated) handles with zinc plated mild steel multi point locking having transmission gear, cylinder with keeps and one side key for uPVC casement door",each set,2635.00,,,
8118,Zinc alloy (white powder coated) handles along with zinc plated mild steel multi point locking having transmission gear with keeps for uPVC sliding window,each set,1535.00,,,
8119,Zinc alloy (white powder coated) handles with key along with zinc plated mild steel multi point locking having transmission gear with keeps for uPVC sliding door,each set,1265.00,,,
8121,uPVC extruded (small series) casement window frame size 47x50mm,metre,280.00,,,
8122,uPVC extruded (small series) casement window sash/window mullion size 47x68 mm,metre,311.00,,,
8125,uPVC extruded glazing bead of appropriate dimension for small series casement window Sash,metre,100.00,,,
No.,,,as on or,,,
,,,just before 01.04.2021,,,
8126,uPVC extruded (big series) casement window frame size 67x60 mm,metre,351.00,,,
8127,uPVC extruded (big series) casement door frame size 67x64 mm,metre,396.00,,,
8128,uPVC extruded (big series) casement window sash/window mullion/door mullion size 67x80 mm,metre,469.00,,,
8129,uPVC extruded (big series) casement door sash size 67x110 mm,metre,568.00,,,
8130,uPVC extruded glazing bead of appropriate dimension for big series casement window/door sash,metre,135.00,,,
8131,uPVC extruded glazing bead of appropriate dimension for small series sliding window sash,metre,66.00,,,
8132,uPVC extruded glazing bead of appropriate dimension for big series of sliding window/ door sash,metre,85.00,,,
8133,uPVC extruded (small series) 2 track sliding window frame size 52x44 mm,metre,314.00,,,
8134,uPVC extruded (big series) 2 track sliding window/door frame size 67x50mm,metre,424.00,,,
8135,uPVC extruded (small series) 3 track sliding window frame size 92x44 mm,metre,418.00,,,
8136,uPVC extruded (big series) 3 track sliding window/door frame size 116x45mm,metre,583.00,,,
8137,uPVC extruded (small series) 2 track sliding window sash/3 track sliding window sash size 32x60mm,metre,291.00,,,
8138,uPVC extruded (big series) 2 track sliding window sash size 46x62mm,metre,357.00,,,
8139,uPVC extruded (big series) 3 track sliding window sash size 46x62mm,metre,358.00,,,
8140,uPVC extruded interlock of appropriate dimension for small series sliding window sash,metre,88.00,,,
8141,uPVC extruded interlock of appropriate dimension for big series sliding window/ door sash,metre,98.00,,,
