,"pknj dh xksVu ds lkFk yxs gksa vkSj foyk;d lhesaV vklatd vkfn ls ,d lkFk tdM+sa gq, gksaA lh pSuy ds vUn:uh rjQ 5 feeh eksVh vkSj 20 feeh pkSMh ih oh lh dh vfrfjDr iŸkh ih oh lh foyk;d vklatd vkfn ls fofuekZrk ds fofunsZ”kksa rFkk Mªkbax vkSj izHkkjh bathfu;j ds funs”kkuqlkj fpidkukA 9-120-1 30 feeh- eksVkbZ ds lknk ih0oh0lh0 njokts",oxZ eh-,2455.10,,,
9-121 9-122,"9-120-2 30 feeh- pkSM+s iwoZ foysfirih0oh0lh0 njokts ds fdokM+ 32 feehx15 feeh ds ,dy irke okys 90 feehx45 feeh dh vuqizLFk dkV okys f=ikn ds rrqdkap izcfyr IykfLVd ds njoktk pkS[kV dh O;oLFkk djuk vkSj yxkkukA Lrfjr iVy njoktk Ýse vfXujks/kd xzsM ds valr‘Ir iksfy;sLVj jkt jsft vkSj ladkfrZr eSV ls lkafpr gksA njoktk pkS[kV iVy 2 feeh eksVk gksxk vkSj rhuksa leqfpr ydMh ds Cykdksa ls Hkjs gksaxsA pkS[kV lHkh fn”kkvksa ls rrqdkap ls vkofjr gksxkA pkS[kV dks fLFkjk/kkj iznku djus ds fy, e‘nq bLikr dk Vsd&rkj miyC/k djk;k tk;sxkA fo","eku njoktk pkS[kVks esa 9-122-1 Lohd‘r czkaM vkSj fofuekZrk ds okfNr jax ds rarqdkap iVfyr IykfLVd ds fnYysnkj 30 feeh eksVs njoktk fdokM+] tks vfXujks/kd xzsM ds vlar‘Ir iksfy,LV jkyjsftu ls cuh gks] [kks[kyh iVjh vkSj mnxz ifÍdk cukus ds fy, 3 feeh eksVh rarq dkap izcfyr irke esa <yh] fQfVax yxkus ds fy, vko”;d LFkkuksa] ij vlar‘Ir ydM+h ds leqfpr CykWd vkSj ydMh dk Ýse yxk gks] iSuyksa ds fy, 5 feeh eksVs rarq dkp izcfyr IykfLVd ds irke ,d[k.M esa <ys gksa <kaps ls ysdj fQfDalx rd Hkk- ek 14856& ds vuqlkj gksuh pkfg,A 9-122-2 vfXujks/kd xzsM vlar‘Rr iksfy,LVj jky jsftu ls cus pkjksa rjQ rarq dkap izcfyr IykfLVd ds 3 feeh eksVs iVy ls lakfpr] eHvj fQfVaXl yxkus ds fy, t:jh LFkkuksa ij ydM+h ds leqfpr CykWd lfgr] [kks[kys isuy es iksfy;wjhFksu Qkse ¼ih;w,Q½ iksfyLVªhu Qkse dh Hkjkou okys Hkk- ek% 1485 ds Vscy&3 ds vuq:i rarq dk¡p izcfyr IykfLVd ds irke ds ijh{k.k eki ds vuqlkj ,d [kaM esa <ys] vyx vyx lkns rFkk ydMh dh fQfu”k okys 30 feeh eksVs rarqdkap izcfyr IykfLVd ¼,Q-vkj-ih½ likV fdokM+ksa dh O;oLFkk djuk vkSj yxkuk] izHkkjh baftfu;j ds fofuZns”kkuqlkj] laiw.kZA",oxZ eh- ehVj oxZ eh- oxZ eh-,2455.10 702-60 3496-75 3963-70,,
9-123 9-124,"62 fe-eh- pkSM+kbZ vkSj 32 fe-eh- eksVkbZ ds fpduh ckgjh lEiw.kZ pknj bafVxzy fLdu okys lekaxh ckjdh lsywyj lajpuk ;qDr flaxy ihl cfgosZf/kr Bksl ih- oh- lh- Qkse izksQkby ls cus QSDVhª fufeZr njoktk pkS[kV ¼,dy irke½ dh O;OkLFkk djuk vkSj yxkuk] foyk;d pkS[kV dks ekbVj fd;k tk;sxk vkSj bls ih0oh0lh0 lhesaV vkSj 38 feeh-×4 feeh- eki ds lSYQ fMªou vkSj lSYQ VSfiax ispksa ls yxk;k tk;sxkk] izHkkjh bathfu;j ds funsZ”kkuqlkj vkSj fofuZekrk ds fofunsZ”kkuqlkj leqfpr O;kl vkSj yEckbZ ds ,adj ds QkLVuj ls pkS[kV dks fnokj ij yxkus lfgr Bksl ih- oh- lh- Qkse izksQkby ds cus 30 feeh- eksVkbZ okys njoktk pkS[kV dh O;oLFkk djuk vkSj yxkukA LVkby vkSj jsy dk eki 75 feeh-×30 feeh- gksxk vkSj nhokj eksVkbZ 5 feeh- gksxh LVkby] “kh’kZ vkSj ry dh jsyks dh ,d rjQ dh nhokj eksVkbZ 15 feeh- gksxh tks iasp dh csgrj idM ds fy, izksQkby dh fgat lkbM ij vfuok;Zr%",ehVj,481-85,,,
,"cfgosZf/kr gksxhA LVkby vkSj jsyksa dks jatd ls isaV dh gqbZ 33 feeh-×17×1 feeh- eki dh e`n bLikr ufy;ksa ls izcfyr fd;k tk;sxk] izcyu ds pkjksa dksuks dks osYM ;k fly fd;k tk;sxkA Bksl ih0oh0lh0 cfgosZf/kr fcfMax ¼iq”k fQV izdkj dh½ dks LVkby vkSj jsyksa ds vanj dksVj ¼dSfoVh½ ls yxk;k tk,xk rkfd flaxy ihl cfgosZf/kr 5 feeh- ih0oh0lh0 lhV dks iSuy ds :Ik esa izkIr fd;k tk ldsaA LVkby vkSj jsyksa dks ekbVj dkVk tk;sxk vkSj bUgs ih0oh0lh foyk;d lhesaV vkSj lsYQ fMªou isapks ls tksM+k tk,xkA 100 feeh- ×30 feeh- uke ds flaxy ihl cfgosZf/kr Bksl ih0oh0lh ykWd jsy ftudh nhokj eksVkbZ 5 feeh- vkSj 15 feeh- gks vkSj tks ykWd jsy ds e/; esa vfuol;Zr% cfgosZf/kr gks] bls ih0oh0lh foyk;d lhesaV vkSj 100 feeh-×8 feeh- vkdkj ds lsYQ fMªou vkSj lsYQ VSfiax ispkas ls LVkby ds lkFk yxk;k tk;sxk] izHkkjh bathfu;j ds funsZ”kkuqlkj vkSj fofuZekrk ds fofunsZ”kkuqlkj lEiw.kZ",,,,,
,9-124-1 vifjlfTtr laEiwfrZ,oxZ eh-,3060.60,,,
,9-124-2 ltkoVh laEiwfrZ ¼nksuksa rjQ yDdM+ xzsu fQfu”k½,oxZ eh-,3194.40,,,
9-125,fo,"eku njoktsa ¼Lukukxkj rFkk tyeyk?kj njokts½ ij 1-0 fe-eh- eksVh ih- oh- lh- dh ê<+ Qkse dh pknj dh O;OkLFkk djuk rFkk flaFksfVd jCkM+ vk/kkfjr vklatd dk iz;ksx djrs gq, mls yxkukA",oxZ eh-,1293-05,,
9-126,"njoktksa] f[kM+fd;ksa vkSj jks”kunkjksa ds fy, fnYgs&nkj ;k fnYgs ,ao “kh”ksnkj fdokMksa esa 12 fe-eh- eksVh fnYgscanh dh O;OkLFkk djus vkSj yxkus ds fy, ¼[kakpkas vFkok irke ds vUnj ds Hkkx dks NksMdj fnYgk vUrosZ‘k.k ds fy, eks[ks ds {ks= dks ekik tk,xk½ fnYgsnkj ;k fnYgs&,ao&”kh”ksnkj fdokM+ dh fnYgscanh 25 fe-eh- ls 40 fe-eh- rd eksVhA 9-126-1 Hkk- ek% 710 ds vuq:i dh eSjhu IykboqM+",oxZ eh-,2100.40,,,
,9-126-2 Hkk- ek% 5509 ds vuq:i vfXujks?kd IykboqM,oxZ eh-,2338.75,,,
9-127,"ltkoVh mPp nkc iVfyr lknh@oqM xzsu dh pedhyh@eSV@LosM fQfu”k okyh pknj dh O;OkLFkk djuk vkSj yxkuk ftldh Åijh lrg ij mPp ?kuRo dh lqj{kk okyh ijr gks vkSj bldh fiNyh rjQ vklatd cksfMUx gks] tks fd Hkk- ek% 2046 Vkbi ,l ds vuq:i xq.koŸkk okyh gks Lohd‘r DokfyVh ds vklatd dh dher “kkfey gS 9-127-1 1-5 fe-eh eksVh",oxZ eh-,890.55,,,
,9-127-2 1-0 fe-eh eksVh,oxZ eh-,764.00,,,
9-128,"QSdVªh fufeZr dkap rarq izcfyr IykfLVd ¼,Q-vkj-ih-½ ds okafNr jax] vkdkj vkSj fMtkbu ds 4 feeh eksVs NTts dh O;oLFkk djuk vkSj yxkukA ;g NTtk vkj Vh ,e rduhd ls cuk gksxk ftlds dkj.k og fjfDreqDr lagr iVy vkSj ,dy ihl esa gksxk] ftldh ljy ty fudklh ds fy, likV Øfed <yku oØrk gksxhA ;g 2 m/okZ/kj vkSj 1 {ksfrth; 50x2 fe-eh- eksVs e‘nq bLikr ¶ySV ls izcfyr gksxk vkSj ftlesa ¼12 feeh fNnz½ nhokj ij vfHk iwj.k ds fy, cus gksxsa] o blds lkFk 50 feeh- ds ,dy [kaM esa cus ,d ihl ¶ySat vPNh rjg ls nhokj esa iwjh rjg ls yxs gq, gksaxs ftuds lkFk lHkh vko”;d fQfVXl nh xbZ gksaxhA ,Q-vkj-ih- NTtk Hkk- ek- 11551 ds vuq:Ik dkap rarq lh-,l-,e izcfyr vkSj Hkk- ek- 6746 ds vuq:i vlar‘Ir iksfy,LVj jsftu ls cuk gksxkA vR;kf/kd rkieku] ekSle vkSj lwjt dh jks”kuh ls iw.kZ cpko ds fy, NTts ds Åij cpkodkjh tSy vkoj.k ;w-oh vkoj.k",,,,,
,gksxkA,oxZ eh-,4901-50,,,
mi “kh’kZ %,187 9-0 ydMh vkSj ih- oh- lh- dk dk;Z,,,,,
9-129 9-130 9-131,"25 fe-eh eksVs vyekjh ds fdokM miyC/k djkuk ,oa yxkuk tks Hkk ek 12823 fpfgur iw.kZ iVfyr likV nkfcr rhu ijrh d.kcksMZ ;k vuqikfrr ikfVZdy cksMZ ds gksa ftlds ,d rjQ ckgk dksfV ds vuqeksfnr ¼xzsM 1 Vkbi&II½ ltkoVh iVyu ,oa nwljh rjQ larqfyr iVyu] gks] vko”;d isapksa lfgr 25 fe-eh- pkSMsx12 fe- eh eksVs f}rh; Js.kh dh lkxkSu ydMh dh fdukjh rFkk pedhys fudy ysfir e‘nqbLikr ds fi;kuksa uqek dCts yxs gks tks izHkkjh bathfu;j ds funs”kkuqlkj] lEiw.kZ Hkk- ek- 3097 fpfgur 25 feeh eksVs ijr d.k cksMZ ds vyekjh ds fdokM+ miyC/k djkuk vkSj yxkuk ftudh ckg; dksfV ¼xzsM 2½ vuqeksfnr Nju dh gks rFkk ftlesa vko”;d isapks lfgr 25 feeh pkSMsax 12 feeh eksVs vkdkj ds f}rh; Js.kh dh lkxkSu dh ydMh dh fdukjh rFkk pedhys fudy ysfir e‘nqbLikr ds fi;kuksa uqek dCts yxsa gksa] izHkkjh bathfu;j ds funs”kkuqlkj] lEiw.kZ 9-130-1 ,d rjQ ltkoVh vkLrj.k ,oa nwljh rjQ O;kolkf;d vkLrj.k ds lkFk 9-130-2 nksuks rjQ ltkoVh vkLrj.k jfgr dkj[kkuk fufeZr e/;e ?kuRo ikfVZdy cksMZ] likV nkfcr frirhZ iwoZ iVfyr ikfVZdy cksMZ ckg; dksfV ds likV njoktk fdokMks dh O;oLFkk djuk vkSj yxkuk ftlds ,d rjQ ltkoVh iVyu vkSj nwljh rjQ larqfyr iVyu gks Hkk ek- 12823 dksfV& 1 Vkbi& 2 ds vuq:i vuqeksfnr vfHkdYi ds gksa vkSj fdukjs tyjks/kh jskxu ls lhy cUn fd, x, gks vkSj fdokM+ ds pkjksa rjQ *;w* izdkj o ,Y;wfefu;e fdukjh xksVu ls eq[kkbZ dh xbZ gks] dksfu;k xqVds] idM+ iÍh] dSfM;e eqyEek;qDr bLikr ispksa ls yxkuk vkSj ,Y;wfefu;e ds 100x 63x 4 feeh dCts vkfn yxkuk] okLrqdh; vkjs[k ds vuq:i vkSj Hkkj lk/kd bthfu;j ds funs”kksa ds vuqlkj] laiw.kZ ¼;w xksVu vkSj dCtksa dh ykxr dk Hkqxrku vyx ls fd;k tk,xk½ 9-131-1 25 feeh eksVs",oxZ eh- oxZ eh- oxZ eh- oxZ eh-,1982-70 1668.30 1567.95 1559-05,,,
9-132,"iwoZ iVfyr@likV njoktk fdokMksa ij visf{kr vkdkj dh ,Y;wfefu;e dh *;w xksVu* dh O;oLFkk djuk vkSj Hkkj lk/kd bathfu;j ds funs”kkuqlkj yxkuk vkfn lfgr laiw.kZA",fd-xzk-,530-30,,,
9-133,"nhokj dh fnYykcanh ds fy, okafNr eksVkbZ ds cksMZ dk iz;ksx djrs gq, lgh LFkku ij xqIr e‘nqbLikr lsD”kudh O;oLFkk djuk vkSj yxkukA tksfd ¼0-55 feeh eksVh½ ‘w’izksQkby ij yxh gksxhA blesa 51-55 feeh- dh ufyZr vkSj 10-55 feeh dh fyIl okyh 26 feeh dh nks ¶ySat ifjeki pSuy esa dsUnz ls dsUnz ij 610 feeh @ ij yxkbZ tk,xhA bl ifjeki pSuy esa 0-55 feeh dh eksVkbZ okyk½ ,d ¶ySat 20 feeh vkSj nwljk ¶ySat 30 fe-eh dk gksxk vkSj 27 feeh yack tky gksxkA ifjeki pSuy Q”kZ vkSj Nr ls dsUnz ls dsUnz dh 610 fe-eh nwjh ij ukbykWu Lyho ls Lor% pwM+hdkV Mªkb oky ispksa ds }kjk tqMs gksaxsA cksMZ tks fd‘W’izksQkby ls] 25 feeh “kqdlkr ia”kqfdZr ispksa tks 200 feeh dsUnz ls dsUnz dh nwjh ij yxs gq, gSa] tqMk gqvk gSA cksMZ ds tksM+ksa dks vafre :i nsus ds fy, fo”ks’k :i ls fufeZr tksM+ ;kSfxd vkSj 48 feeh- pkSMs tksM Vsi dk iz;ksx exth tksM lfgr lheySl laiwfrZ nsus ds fy, fd;k tk,xkA¼izHkkjh bathfu;j ds funs”kksa vkSj vkjs[kkuqlkj laiw.kZ½ 9-133-1 225 fdxzk-@oxZ lseh laihMu lkeF;Z vkSj 100 fdxzk-@oxZ lseh cadu lkeF;Z okyh fLFkj fdLVyh; lajpuk cukus ds fy, vkWVksDyso izfØ;k ls fufeZr lsywyksl Qkbcj izcfyr flfydke; vkSj pwusnkj lkefxz;ksa ls cus ‘kqaMkdkj fdukjksa okyk dSfy”k;e flfydsV cksMZ 9-133-1-1 10 feeh eksVk",oxZ eh-,1503-50,,,
9-133-2,"mi;qDr lhesaV ls ca/kk gq, cksMZ isapksa ds lkFk fufeZr fd;k x;k cgqmi;ksxh lhesaV ls ca/kk gqvk oqMikVhZdy cksMZ",,,,,
,9-133-2-1 8 feeh eksVk lhesaV QkbZcj cksMZ Hkk-ek- & 14862 ds vuq:i,oxZ eh-,1209.10,,,
,9-133-2-2 8 feeh eksVk lhesaV ckmafMM oqMikVhZdy Hkk-ek- 14276 ds vuq:i,oxZ eh-,1201.70,,,
9-133-3,Hkk-ek- 2095&1996 Hkkx&1 % 2011 ds vuq:i ftIle lery IykLVj cksMZ,,,,,
,9-133-3-1 12-5 feeh eksVk,oxZ eh-,1091.30,,,
9-134 Rkkj xst bLikr,fdokMksa dh O;oLFkk djuk rFkk yxkuk ftlesa 304 xzsM ds vnn taxjks/kh dh 0-5 feeh O;kl dh iz;ksx fd;k x;k gSa] rkj dks fdokMksa f[kMfd;ksa rFkk,,,,,
vf/kry isapksa ds,f[kMfd;ksa dh nksuksa vkSj 1-4 feeh vkSlr dk ifjfNnz gksa vkSj os vko”;d lkFk yxkh gksa,,,,,
9-134-1,35 feeh eksVkbZ ds fdokM+A,,,,,
,9-134-1-1 Hkk- ek- fpafgr e‘ns yksgs ds pedhys lqlfTtr laihfMr cV dCts vko”;drkuqlkj vkdkj ds gksA,,,,,
,9-134-1-1-1 f}rh; Js.kh dh lkxoku dh ydMh,oxZ eh-,4484.65,,,
,9-134-1-1-2 HkVVk la”kksf/kr rFkk jlk;fud mipkfjr,,,,,
,gkyd ydMh,oxZ eh-,3282.50,,,
,9-134-1-1-3 HkVVk la”kksf/kr rFkk p;fur Js.kh dh “kh”ke dh ydMh,oxZ eh-,4035.75,,,
,9-134-1-2 Hkk- ek- fpafgr vko”;drkuqlkj vkdkj ds taxjks/kh bLikr ds,,,,,
,cV dCtsA,,,,,
,9-134-1-2-1 f}rh; Js.kh dh lkxoku dh ydMh,oxZ eh-,4631.80,,,
,9-134-1-2-2 HkVVk la”kksf/kr rFkk jlk;fud izdkj ls,,,,,
,mipkfjr gksyd ydMh,oxZ eh-,3429.70,,,
,9-134-1-2-3 HkVVk la”kksf/kr rFkk p;fur Js.kh dh “kh”ke,,,,,
,dh ydMh,oxZ eh-,4213.45,,,
9-134-2,30 feeh eksVs ds fdokM+A,,,,,
,9-134-2-1 ftlesa Hkk- ek- fpafgr e‘ns blikr ds laihfMr cV dCts pefdys ifj’d`r vko”;d vkdkj dsA,,,,,
,9-134-2-1-1 f}rh; Js.kh dh lkxoku dh ydMh,oxZ eh-,4006.05,,,
,9-134-2-1-2 HkVVk la”kksf/kr rFkk jlk;fud izdkj ls,,,,,
,mipkfjr gksyd ydMh,oxZ eh-,2976.95,,,
,9-134-2-1-3 HkVVk la”kksf/kr rFkk p;fur Js.kh dh “kh”ke,,,,,
,dh ydMh,oxZ eh-,3621.75,,,
,9-134-2-2 Hkk- ek- fpafgr taxjks/kh bLikr vko”;d vkdkj ds cV dCtks lfgrA,,,,,
,9-134-2-2-1 f}rh; Js.kh dh lkxoku dh ydMh 9-134-2-2-2 HkVVk la”kksf/kr rFkk jlk;fud izdkj ls mipkfjr gksyd ydMh 9-134-2-2-3 HkVVk la”kksf/kr rFkk p;fur Js.kh dh “kh”ke dh ydMh,oxZ eh- oxZ eh- oxZ eh-,4153.20 3124.15 3768.90,,,
9-135,f[kMfd;ksa] vf/kry f[kMfd;ksa esa 304 Js.kh dh taxjks/kh bLikr ls cuh eD[kh jksd rkjxst dh O;oLFkk djuk rFkk yxkuk] tks nksuksa vkSj ls vkSlr 1-4 feeh pkSMh fNnznkj gks rFkk rkj dk O;kl 0-50 feeh lEiw.kZ gksaA 9-135-1 f}rh; Js.kh lkxoku dh 62×19 feeh vkdkj dh ydMh ls cuh xksVu,oxZ eh-,1404.25,,,
,9-135-2 12 feeh e‘nq bLikr dh ^;w^ xksVu,oxZ eh-,1051.75,,,
9-136 9-137 9-138,"143×57 feeh vkdkj ds vfXulg njokts dh pkS[kV dh O;oLFkk djuk o yxkuk] ftlesa 16 ,l0 MCy;w0 th0 tLrsnkj pknj ls vUrZ fufeZr djuk gksa ¼ftad dh ijr& 120 xzke@ oxZ eh- ls de u gks½ mlesa oekZlqyk,V vk/kkfjr dadzhV feJ.k Hkjk gks] o tks 60 feuV vfXunj njoktksa ds fdokM ij p<kus ds vuqdwy gksA pkS[kV ds pkjksa vksj bVqeqslaV vfXu lhy dh 10×4 feeh ¼U;wure½ dh irh ls O;ofLFkr gks] rFkk Lohd‘r vkdkj o czkaM ¼uke½ ds MS”k ca/kd ls yxk gksa] bl ij vuqeksfnr czkaM ds vfXulg izkLr.k bR;kfnd dh ,d ijr yxkbZ xbZ gksa] tksfd izHkkjh bathfu;j ds funsZ”kkuqlkj laiw.kZ gks ¼MS”k ca/kd dk Hkqxrku vyx ls fd;k tk;sxk½ 50 feeh eksVs dkap ds vfXu lg njokts ds fdokM tks 60 feuV rd vfXu jasfVx Hkkjrh; ekud 3614 ¼Hkkx&2½ ds esy j[krs gks] iz;ksx”kkyk }kjk ijhf{kr rFkk izekf.kr gks] o izHkkjh bathfu;j }kjk Lohd‘r gks] mUgsa njoktksa dh pkS[kV ds vuqdwy yxkukA ftleas m/okZ/kj LVkbZy@ ykWd jsy] Vki jsy 100 feeh pkSMh RkFkk uhps dh jsy 200 feeh pkSMk gks tks 16 ,l0MCY;w0th0& tLrhd‘r yksgs dh pknj ls cuh gks ¼ml ij tLrs dh ,d ijr 120 xzke@ oxZ eh0 ls de u gks½ ml esa ,Q0vkj0 vklatd lkexzh Hkjh gks rFkk mls &taxjks/kh bLikr ds cky c;ksjsad okys dCts ls yxk;k tk,s tks Lohd‘r ekdh ds gks rFkk bu ij vuqeksfnr vfXulg & vkjpkjd vkfn dk ,d ijr p<h gks tks izHkkjh bathfu;k ds funsZ”kkuqlkj lai.kZ gS ¼fjYyks dk Hkqxrku vyx ls fd;k tk,sxk½A lexzrk vkSj fofdj.k fu;=.k nksuksa ds vfXu izfrjks/kd ds 60 feuV ¼bZ MCY;w 60½ vkSj bUlqys”ku ds U;wure 20 feuV ¼bZ vkbZ 20½ ds lkFk vko”;d eksVkbZ ds “kh”ks lfgr vfHk;ark izeq[k ds funsZ”kkuqlkj rFkk ,u ch lh lh 2016] Hkk-ek- 16231 ¼Hkkx 3½% 2016 ds vuqlkjlHkh izdkj ls tLRkh yksgs dh chM yxkuk] vksSj 5×20 feeh- ds vkdkj dh fo”ks’k fljsfed Vsi vkfn ij 30 ekbDjksu ls vf/kd dh vuqeksfnr vfXu izfrjks/kd izkbej@ikmMj dksfVax dh ijrp<kus dks “kkfey dj fdukjksa vkSj 150 feeh- lh@lh ls 75 feeh- dh nwjh ij ,e 4×38 feeh- ,l ,l ispksa ds lkFk 20×30 feeh- ds vkdkj dh 1-6 feeh- eksVh tLrh yksgs dh pknj ¼ml ij ftad dh ijr 120 xzk-@oxZeh- ls de u gks½ ls cuh tLrh yksgs dh chM yxkus ds lkFk vfXu izfrjks/kd njokts ds fdokM] fLFkj vkSj foHkktuksa vkfn dks miyC/k djkuk vkSj Xysftax iSuy yxkuk iw.Zk fd;k x;k A fofuekZrk dks Qk;jXykl dh ijh{k.k fjiksVZ @izek.ku nsuk gksxk rFkk “kh”ks ij bZ] bZ MCY;w vkSj bZ vkbZ dk ewY; fn[kkus okyh eksgj gksuh pkfg,A “kh”kk ijh{k.k vkSj ekikadu {ks= gsrq vuqeksfnr ,u , ch ,y",ehVj oxZ eh-,1462-75 6444-95,,,
,"ekU;rk izkIr ySc ;k fdlh vU; vkf/kdkfjd fudk; }kjk tks vkbZ ,l vks@ vkbZ bZ lh 17011 ds vuqlkj lapkfyr gksrk gS vksSj vkbZ ,l vks@ vkbZ bZlh 17025 ds vuqlkj vf/kd`r ySc }kjk ij[kk tk,xk og ;ksX; gksxkA vf/kdre Xyftax dk vkdkj 1100×2200 fe-eh ¼pkSMkbZ×yackbZ½ vFkok 2-42 oxZ ehVj ls vf/kd ugha gksxkA",oxZ eh-,35982-00,,,
9-139,"iSfud NMh] fpV[kuh] ¼f}xquk fcanq½ ,dyihl esa cuh] fMªe fpV[kuh] rkyk^ iSfud fpV[kuh dh fiNyh vksj & izfl) czkaM@fuekZrk]tks izHkkjh bathfu;j }kjk vuqeksfnr] gks lEiw.kZ O;oLFkk djuk o yxkukA",izR;sd,7145-90,,,
9-140,"ydMh@bLikr ds pkS[kV ij ,d rjQ ls Lohd‘r izkbZej dh vkLrj dh xbZ iysu ykbfuax]vko”;d iasp cksYV@ dhyksa lfgr dh O;oLFkk djuk o yxkuk lEiw.kA tSlk fd izHkkjh bathfu;j ds funsZ”kkuqlkj gks ¼pkS[kV ds dk;Z dk Hkqxrku vyx ls fd;k tk;sxkA½ 9-140-1 12 feeh eksVh def”kZ;y IykbZ tks Hkkjrh; ekud 1328 ch0MCY;w0vkj0 VkbZi ls esy [kkrh gksA",oxZ eh-,1084.60,,,
9-141 9-142,"50×47 feeh vkdkj ds ih0oh0lh0 njoktks dh pkS[kV dh O;oLFkk djuk o yxkuk] ftldh fHkrh dh eksVkbZ 5 feeh ¼$0-2 feeh gks½ rFkk ih0oh0lh0 ckgof/kZr izksQkby ds ,d VqdMs ls fufeZr gks] rFkk dyeh tksMksa rFkk ih0oh0lh0 ds 190 feeh×100 feeh ds 2 czSDVks ls] rFkk dkV dh yEch cktw 35×15 feeh rFkk Lopfyr pwMh okys ispksa ls tqMs gq,s gks] m/okZ/kj fdokMks ds izksQkby 40×20 feeh vkdkj ds e‘nq bLikr ls fufeZr 0-8 feeh okyh vk;rkdkj uyh }kjk izcfyr fd, gks] blesa bZ0ih0Mh0,e0 jcM xSLdSV] ekSle ca/ku lhy pkS[kV ds pkjks vksj yxkh gks] rFkk izksQkby dh ihNs dh vksj 5 feeh ih0oh0lh0 dh pkS[kV] dh irh ih0oh0lh0 foyk;d lhesaV ls tqMh gks] njoktksa dh pkS[kV nhokj ds 8×10 feeh yEcs yaxj ca/kdks ls tqMh gks rFkk fofuekZrk rFkk izHkkjh bathfu;j ds vuqlkj iwjh rjg lEiw.kZ gksA dkj[kkuksa esa fufeZr 35 feeh eksVs Bksl fnYysnkj ih0oh0lh0 ds cus njokts ds fdokM] tks tksMjfgr] rFkk Bksl ih0oh0lh0 izksQkby ds cfgof/kZr ,dy VqdMs ls cus gks] 5 feeh ¼$ 0-20 feeh½ eksVs mnxz ifVdk o iVjh ¼ykd jys dks NksMdj½ 95 feeh×35 feeh×5 feeh vkdkj ds gks rFkk ftuesa ls 75 feeh lh/ks gks rFkk 20 feeh nksuksa vksj frjNs gks 1 feeh ,d vksj dh eksVkb 15 feeh dCts dh rjQ ,dkadh cfgof/kr gks rFkk isap dh idM “kfDr dks etcwr djus ds fy, gSa o 40 feeh- ×20 feeh-×1 feeh vkdkj dh e`nq yksgs dh vk;rkdkj uyh gks] mnxz ifVdk o iVjh dh tqMukj ij dyeh tksM ih0oh0lh0 foyk;d lhesaV rFkk ,d tqMs Lopfyr pwMhnkj Ldw ls twMs gks rFkk gj dksus ij e`nsyk gSa 190 feeh×100 feeh dh vk;rkdkj uyh dh 35 feeh×17 feeh×1 feeh ds vko”;drkuqlkj yxh gksaA 5 feeh eksVs ,dy cfgof/kZr Bksl ih0oh0lh0 ykd jsy ftldk vkdkj 15 feeh×35 feeh gks rFkk muesa ls 75 feeh lh/kk gks rFkk 20 feeh nksuks fljks ls frjNk gks] ml iVjh dkV ds chp esa 15 feeh dh Bksl dksj gks tks ,dkaxh cfgof/kZr gks rFkk mldh mnzxz ifVdk o iVjh foyk;d rFkk Loae pfyr LopwMhuqek] isapks ls tqMh gks ftldk vkdkj 25 feeh×11 feeh gks] rFkk mlesa 5 feeh ,dy VqdMk Bksl ih0oh0lh0 dk tqMukj ij ckgof/kZr pknj dk] fdokMs ds fnYyksa esa fufgr lEiw.kZ gks tSlk ls fofuekZrk ds fofunsZ”k o izHkkjh bathfu;j ds funsZ”kks ds vuqlkj gksaA",ehVj,462-25,,,
,9-142-1 xSj ltkoVh laiw.kZrk ¼eSV laiw.kZrk½ 9-142-2 ltkoVh laiw.kZrk ¼ydMh ds nksuks dh laiw.kZrk½,oxZ eh- oxZ eh-,3467.20 4018.40,,,
