Item No.,Description,Unit,Rate,
1616,"S.C.I. soil, waste and vent single socketed pipe 1.80 metres long: 75 mm dia",each,1050.00,
1617,"S.C.I. soil, waste and vent single socketed pipe 1.80 metres long:100 mm dia",each,1135.00,
1620,S.C.I. plain bend 75 mm dia,each,210.00,
1621,S.C.I. plain bend 100 mm dia,each,280.00,
1624,S.C.I. bend with access door 75 mm dia,each,290.00,
1625,S.C.I. bend with access door 100 mm dia,each,350.00,
1627,S.C.I. plain single equal junctions 75x75x75 mm dia,each,315.00,
1628,S.C.I. plain single equal junctions 100x100x100 mm dia,each,405.00,
1630,S.C.I. single equal junctions 75x75x75 mm dia with access door,each,390.00,
1631,S.C.I. single equal junctions 100x100x100 mm dia with access door,each,455.00,
1633,S.C.I. plain double equal junctions 75x75x75x75 mm dia,each,410.00,
1634,S.C.I. plain double equal junctions 100x100x100x100 mm dia,each,615.00,
1636,S.C.I. double equal junctions 75x75x75x75 mm dia with access door,each,525.00,
No.,,,as on or just before 01.04.2021,
1637,S.C.I. double equal junctions 100x100x100x100 mm dia with access door,each,730.00,
1639,Slotted cowl (terminal guard) 75 mm dia,each,215.00,
1640,Slotted cowl (terminal guard) 100 mm dia,each,265.00,
1653,Sand cast iron S&S plain single unequal junctions: 100x100x 75 mm dia,each,525.00,
1656,Sand cast iron S&S single unequal junctions: 100x100x75 mm dia with access door,each,575.00,
1659,Sand cast iron S&S plain double unequal junctions: 100x100x75x 75 mm dia,each,625.00,
1662,Sand cast iron S&S double unequal junctions: 100x100x75x75 mm dia with access door,each,725.00,
1666,Sand cast iron heel rest bend 75 mm dia,each,300.00,
1667,Sand cast iron heel rest bend 100 mm dia,each,355.00,
1669,S.C.I. single equal invert branch of required degree 75x75x75 mm dia,each,350.00,
1670,S.C.I. single equal invert branch of required degree 100x100x 100 mm dia,each,435.00,
1672,S.C.I. double equal invert branch of required degree 75x75x75x 75 mm dia,each,425.00,
1673,S.C.I. double equal invert branch of required degree 100x100x100x 100 mm dia,each,550.00,
1674,S.C.I. single unequal invert branch of required degree 100x100x 75 mm dia,each,500.00,
1677,S.C.I. double unequal invert branch of required degree 100x100x 75x75 mm dia,each,600.00,
1682,S.C.I. door pieces 75 mm dia,each,285.00,
1683,S.C.I. door pieces 100 mm dia,each,485.00,
1685,S.C.I. collar 75 mm dia,each,180.00,
1686,S.C.I. collar 100 mm dia,each,270.00,
1863,Fire clay kitchen sink: 600x450x250 mm,each,1300.00,
1871,White vitreous china laboratory sink 450x300x150 mm,each,1500.00,
1872,White vitreous china laboratory sink 600x450x200 mm,each,2500.00,
1875,White plastic seat (solid) with lid C.P. brass hinges and rubber buffers,each,410.00,
1876,Black plastic seat (solid) with lid C.P. brass hinges and rubber buffers,each,325.00,
1881,Spun yarn,kg,55.00,
1885,15 mm C.P. brass tap,each,270.00,
1889,C.P. brass toilet paper holder of standard size,each,280.00,
No.,,,as on or just before 01.04.2021,
1891,C.I. trap for standard urinal with vent arm with operating and other couplings in C.P. brass: 50 mm dia,each,190.00,
1893,C.I. trap for standard urinal with vent arm with operating and other couplings in C.P. brass: 80 mm dia,each,225.00,
1895,C.P. brass trap 40 mm dia,each,315.00,
1896,100 mm S.C.I. trap with vent heel,each,325.00,
1897,100 mm S.C.I. trap with 100 mm inlet and 100 mm outlet,each,300.00,
1898,100 mm S.C.I. trap with 100 mm inlet and 75 mm outlet,each,220.00,
1913,Vitreous china lipped front urinal,each,470.00,
1915,Vitreous china squatting plate urinal,each,1053.00,
1947,Vitreous china flat back wash basin 630x450 mm,each,725.00,
1949,Vitreous china angle back wash basin 600x480 mm,each,725.00,
1950,Vitreous china angle back wash basin 400x400 mm,each,425.00,
1951,C.P. brass waste 32 mm,each,85.00,
1952,C.P. brass waste 40 mm,each,100.00,
1953,Vitreous china Indian type W.C. pan of size 580 mm,each,475.00,
1954,Vitreous china orrisa type W.C. pan of size 580 mm,each,1290.00,
1955,Vitreous china pedestal type water closet,each,1025.00,
1965,White vitreous china dual purpose closet (Anglo Indian W.C.) suitable for use as squatting pan or European type water closet as per manufacturer's specifications,each,2500.00,
1966,"Floor mounted white vitrous china double trap syphonic WC with 10 litre cistern and all fittings & fixtures,seat cover etc",each,9800.00,
1970,Vitreous china foot rests 250x125x25 mm,pair,103.00,
2202,Carriage of Stone aggregate below 40 mm nominal size,cum,163.93,
2203,Carriage of Coarse sand,cum,163.93,
2205,Carriage of Steel,tonne,145.72,
2209,Carriage of Cement,tonne,145.72,
3213,Vitreous china Surgeon type wash basin of size 660x460 mm,each,1100.00,
3228,"600x120 mm glass shelf with anodised aluminium angle frame, C.P. brass brackets and guard rail of standard size",each,300.00,
3229,Vitreous china flat back wash basin 550x400 mm,each,550.00,
3617,C.P. Brass union 40mm dia,each,210.00,
3620,"C.C.I. (spun) socketed soil, waste and vent pipe 1.80 metres long:100 mm dia",each,1170.00,
3621,"C.C.I. (spun) socketed soil, waste and vent pipe 1.80 metres",,,
,long:75 mm dia,each,1150.00,
No.,,,as on or,
,,,just before 01.04.2021,
3624,S.C.I. S&S bends with access door 100 mm dia,each,400.00,
3625,S.C.I. S&S bends with access door 75 mm dia,each,300.00,
3628,S.C.I. S&S bend 100 mm dia,each,300.00,
3629,S.C.I. S&S bend 75 mm dia,each,200.00,
3634,S.C.I. S&S heel rest sanitary bend 100 mm dia,each,300.00,
3635,S.C.I. S&S heel rest sanitary bend 75 mm dia,each,280.00,
3640,S.C.I. S&S single equal junctions 100x100x100 mm,each,500.00,
3641,S.C.I. S&S single equal junctions 75x75x75 mm,each,350.00,
3644,S.C.I. S&S single equal junctions with access door 100x100x 100 mm,each,500.00,
3645,S.C.I. S&S single equal junctions with access door 75x75x75 mm,each,390.00,
3650,S.C.I. S&S double equal junctions 100x100x100x100 mm,each,630.00,
3651,S.C.I. S&S double equal junctions 75x75x75x75 mm,each,470.00,
3654,S.C.I. S&S double equal junctions with access door 100x100x100x 100 mm,each,630.00,
3655,S.C.I. S&S double equal junctions with access door 75x75x75x 75 mm,each,500.00,
3660,S.C.I. S&S single unequal junctions 100x100x75 mm,each,600.00,
3664,S.C.I. S&S single unequal junctions with access door 100x100x 75 mm,each,650.00,
3670,S.C.I. S&S double unequal junctions 100x100x75x75 mm,each,800.00,
3674,S.C.I. S&S double unequal junctions with access door 100x100x 75x75 mm,each,900.00,
3681,S.C.I. S&S single equal invert branch of required degree 100x100x 100 mm dia,each,430.00,
3682,S.C.I. S&S single equal invert branch of required degree 75x75x 75 mm dia,each,330.00,
3685,S.C.I. S&S double equal invert branch of required degree 100x100x 100x100 mm dia,each,540.00,
3686,S.C.I. S&S double equal invert branch of required degree 75x75x 75x75 mm dia,each,450.00,
3690,S.C.I. S&S single unequal invert branch of required degree 100x 100x75 mm dia,each,550.00,
3695,S.C.I. S&S double unequal invert branch of required degree 100x 100x75x75 mm dia,each,730.00,
3699,"S.C.I. S&S, 75 mm offset for 75 mm dia pipe",each,230.00,
3707,"S.C.I. S&S, 150 mm offset for 75 mm dia pipe",each,300.00,
3708,"S.C.I. S&S, 150 mm offset for 100 mm dia pipe",each,400.00,
No.,,,as on or just before 01.04.2021,
3712,"S.C.I. S&S, 114 mm offset for 75 mm dia pipe",each,310.00,
3713,"S.C.I. S&S, 114 mm offset for 100 mm dia pipe",each,390.00,
3716,"S.C.I. S&S, 152 mm offset for 75 mm dia pipe",each,360.00,
3717,"S.C.I. S&S, 152 mm offset for 100 mm dia pipe",each,460.00,
3728,S.C.I. S&S door pieces 100 mm dia,each,410.00,
3729,S.C.I. S&S door pieces 75 mm dia,each,300.00,
3733,"S.C.I. S&S, Slotted Cowl (Terminal Guard) 100 mm",each,300.00,
3734,"S.C.I. S&S, Slotted Cowl (Terminal Guard) 75 mm",each,210.00,
3738,"S.C.I. S&S, collars 100 mm",each,300.00,
3739,"S.C.I. S&S, collars 75 mm",each,180.00,
3746,"S.C.I. S&S, 75 mm offset for 75 mm dia pipe",each,220.00,
3747,"S.C.I. S&S, 75 mm offset for 100 mm dia pipe",each,360.00,
3749,Vitreous china toilet paper holder of standard size,each,110.00,
4202,Red oxide Zinc chromate primer,litre,120.00,
7004,Vitreous china flat back wash basin 450x300 mm,each,280.00,
7005,Vitreous china 10 litres low level cistern without fittings,each,700.00,
7006,Vitreous china 10 litres low level cistern with fittings,each,1200.00,
7048,Rawl plug 50 mm (designation 10 nos),each,22.00,
7072,Wall mounted water closet of size 780 x 370x690 mm,each,5500.00,
7073,Adjustable Vitreous China Cistern with fittings of flushing capacity 3 litre/ 6litre 9adjustibla to 4 litre/8litre),each,1600.00,
7074,White Vetrious China Waterless Urinal of size 600x330x315 mm,each,9000.00,
7075,Cistern with fittings for Waterless Urinal,each,2200.00,
7076,Battery based infrared sensor operated white Vitreous Urinal of aprox.size 610x390x370 mm,each,4500.00,
7095,Stainless steel kitchen sink - with drain board 510x1040 mm bowl depth 250 mm,each,3000.00,
7096,Stainless steel kitchen sink - with drain board 510 x 1040 mm bowl depth 225 mm,each,3500.00,
7097,Stainless steel kitchen sink - with drain board 510 x 1040 mm bowl depth 200 mm,each,3200.00,
7098,Stainless steel kitchen sink - with drain board 510x1040 mm bowl depth 178 mm,each,3000.00,
7101,Stainless steel kitchen sink - without drain board 610x510 mm bowl depth 200 mm,each,2200.00,
7102,Stainless steel kitchen sink - without drain board 610x460 mm,,,
,bowl depth 200 mm,each,1500.00,
No.,,,as on or just before 01.04.2021,
7103,Stainless steel kitchen sink - without drain board 470x420 mm bowl depth 178 mm,each,1200.00,
7104,Coloured Orissa pattern W.C. pan 580x440 mm,each,1600.00,
7105,Coloured Pedestal type W.C. pan 580x440 mm (European type),each,850.00,
7106,Coloured Vitreous china 10 lit. low level cistern,each,1000.00,
7107,Coloured (other than black) solid P.V.C. seat in European W.C. pan,each,350.00,
7112,Circular shape 450 mm dia Mirror with Plastic moulded frame,each,400.00,
7113,Rectangular shape 453x357 mm Mirror with Plastic moulded frame,each,290.00,
7114,Oval shape 450x350 mm (outer dimensions) Mirror with Plastic moulded frame,each,290.00,
7115,Rectangular shape 1500x450 mm Mirror with Plastic moulded frame,each,670.00,
7116,Hard board 6 mm thick,sqm,115.00,
7117,Semi Rigid PVC waste pipe for sink and wash basin 32 mm dia with length not less than 700 mm i/c PVC waste fittings,each,25.00,
7118,Semi Rigid PVC waste pipe for sink and wash basin 40 mm dia with length not less than 700 mm i/c PVC waste fittings,each,33.00,
7119,Flexible (coil shaped) PVC waste pipe for sink and wash basin 32mm dia with length not less than 700 mm i/c PVC waste fittings,each,35.00,
7120,Flexible (coil shaped) PVC waste pipe for sink and wash basin 40 mm dia with length not less than 700 mm i/c PVC waste fittings,each,35.00,
7121,Bottle Trap,each,620.00,
7122,CP Brass Single lever telephonic wall mixer of approved make,each,4500.00,
7123,Coloured High density polyethylene / poly propylene 10 lit. (full flush) capacity controlled low level flushing cistern with fittings,each,550.00,
7126,White Vitreous china 10 litre (full flush) capacity controlled low level flushing cistern with all fittings,each,700.00,
7127,Coloured Vitreous china 10 litre (full flush) capacity controlled low level flushing cistern with all fittings,each,1150.00,
7358,"Flushing Cistern P.V.C. 10 litre capacity (low level) (White) (with fittings, accessories and flush pipe)",each,575.00,
7359,P.V.C. automatic flushing cistern 5 litre capacity,each,450.00,
7361,P.V.C. automatic flushing cistern 10 litre capacity,each,500.00,
7363,15 mm C.P. brass tap with elbow operation lever,each,430.00,
7364,White glazed fire clay draining board 600x450x25 mm,each,500.00,
7366,Glass reinforced Gypsum ( GRG) plaster board 12.5 mm thick confirming to IS 2095 (Part 3):1996,sqm,240.00,
7375,G.I. flush pipe and C.P. brass spreader including C.P. connecting,,,
,pipe Single lipped urinal,each,445.00,
No.,,,as on or just before 01.04.2021,
7376,G.I. flush pipe and C.P. brass spreader including C.P. connecting pipe Range of two lipped urinals,each,765.00,
7377,G.i. flush pipe and C.P. brass spreader including C.P. connecting pipe Range of three lipped urinals,each,1050.00,
7378,G.I. flush pipe and C.P. brass spreader including C.P. connecting pipe Range of four lipped urinals,each,1430.00,
7379,White vitreous china clay half stall urinal flat back 580x380x350 mm or angle back 450x375x350 mm with waste fittings as per IS:2556,each,865.00,
7406,PTMT pillar cock,each,115.00,
7491,PTMT - Waste Coupling 31/32 mm,each,34.00,
7492,PTMT - Waste Coupling 38/40 mm,each,39.00,
7493,PTMT - Bottle Trap 31/32 mm,each,200.00,
7494,PTMT - Bottle Trap 38/40 mm,each,200.00,
7503,PTMT Liquid Soap Container of 400 ml capacity,each,95.00,
7504,PTMT - Towel Ring 215x200x37 mm,each,110.00,
7505,PTMT - Towel Rail (450 mm long ),each,125.00,
7506,PTMT - Towel Rail (600 mm long),each,145.00,
7507,PTMT Shelf 450x124x36 mm,each,150.00,
7508,PTMT - Urinal Spreader 15 mm,each,55.00,
7621,Hubless centrifugally cast (spun) iron pipes as per IS 15905 - 100 mm dia (3000 mm length pipe),metre,700.00,
7622,Hubless centrifugally cast (spun) iron pipes as per IS 15905 - 75 mm dia (3000 mm length pipe),metre,570.00,
7623,Hubless centrifugally cast (spun) iron plain bend as per IS 15905 - 100mm dia,each,230.00,
7624,Hubless centrifugally cast (spun) iron plain bend as per IS 15905 - 75 mm dia,each,160.00,
7625,Hubless centrifugally cast (spun) iron double equal plain junction as per IS 15905 - 100x100x100x100 mm dia,each,510.00,
7626,Hubless centrifugally cast (spun) iron double equal plain junction as per IS 15905 - 75x75x75x75 mm dia,each,275.00,
7627,Hubless centrifugally cast (spun) iron single equal plain junction as per IS 15905 - 100x100x100 mm dia,each,400.00,
7628,Hubless centrifugally cast (spun) iron single equal plain junction as per IS 15905 - 75x75x75 mm dia,each,215.00,
7629,Hubless centrifugally cast (spun) iron double unequal plain junction as per IS 15905 - 100x100x75x75 mm dia,each,400.00,
7630,Hubless centrifugally cast (spun) iron single unequal plain junction as per IS 15905 -100x100x75 mm dia,each,375.00,
7631,Hubless centrifugally cast (spun) iron double equal plain invert,,,
,branch as per IS 15905 - 100x100x100x100 mm dia,each,625.00,
No.,,,as on or just before 01.04.2021,
7632,Hubless centrifugally cast (spun) iron single equal plain invert branch as per IS 15905 - 100x100x100 mm dia,each,390.00,
7633,Hubless centrifugally cast (spun) iron single equal plain invert branch as per IS 15905 - 75x75x75 mm dia,each,260.00,
7634,Hubless centrifugally cast (spun) iron single unequal plain invert branch 45 degree as per IS 15905 - 100x100x75 mm dia,each,430.00,
7635,Hubless centrifugally cast (spun) iron 65 mm offset with 100 mm dia pipe as per IS 15905,each,360.00,
7636,Hubless centrifugally cast (spun) iron 65 mm offset with 75 mm dia pipe as per IS 15905,each,295.00,
7637,Hubless centrifugally cast (spun) iron 130 mm offset with 100 mm dia pipe as per IS 15905,each,440.00,
7638,Hubless centrifugally cast (spun) iron 130 mm offset with 75 mm dia pipe as per IS 15905,each,310.00,
7639,Hubless centrifugally cast (spun) iron bend with access door - 100mm dia as per IS 15905,each,365.00,
7640,Hubless centrifugally cast (spun) iron bend with access door - 75mm dia as per IS 15905,each,290.00,
7641,Hubless centrifugally cast (spun) iron terminal guard (slotted cowl) - 100 mm dia as per IS 15905,each,270.00,
7642,Hubless centrifugally cast (spun) iron trap with 100 mm inlet and 100 mm outlet as per IS 15905,each,540.00,
7643,Hubless centrifugally cast (spun) iron trap with 100 mm inlet and 75 mm outlet as per IS 15905,each,385.00,
7644,SS 304 grade shielded coupling with EPDM rubber gasket for 100mm dia Hubless centrifugally cast (spun) iron,each,275.00,
7645,SS 304 grade shielded coupling with EPDM rubber gasket for 75 mm dia Hubless centrifugally cast (spun) iron,each,250.00,
7805,Salem Stainless steel AISI - 304 (18/8) Orrisa pattern W.C. pan 724mm X 578 mm,each,4500.00,
7806,Salem Stainless steel AISI - 304 (18/8) Round basin 405mm X 355 mm,each,1500.00,
7807,Salem Stainless steel AISI - 304 (18/8) Wash basin 530mm X 345 mm,each,2000.00,
7808,Centrifugally cast (spun) iron S&S 100 mm inlet and 100 mm outlet,each,450.00,
7809,Centrifugally cast (spun) iron S&S 100 mm inlet and 75 mm outlet,each,500.00,
7858,P.T.M.T. Urinal cock 15 mm dia,each,95.00,
9001,C.P. Brass Centre Hole Basin Mixer With Cast Spout,each,1600.00,
9977,Carriage,L.S.,2.12,
9988,Carriage and sundries,L.S.,2.12,
9999,Sundries,L.S.,2.12,
,,,01-04-2021,
,,,dks ;k mlls Bhd igys,
0100,ca/kkuh,fnu,714-00,
0101,fHk”rh,fnu,714-00,
0103,yqgkj nwljh Js.kh dk,fnu,714-00,
0112,c<bZ nwljh Js.kh dk,fnu,714-00,
0114,csynkj,fnu,645-00,
0115,dqyh,fnu,645-00,
0116,fQVj ¼xzsM& I½,fnu,784-00,
0117,lgk;d fQVj ;k nwljh Js.kh dk fQVj,fnu,714-00,
0123,jkt ¼bZaV yxkuk½ igyh Js.kh dk,fnu,784-00,
0124,jkt ¼bZaV yxkuk½ nwljh Js.kh dk,fnu,714-00,
0128,esV,fnu,714-00,
0131,jaxlkt ¼isaUVj½,fnu,714-00,
0295,"iRFkj dk feykok ¼,dy uki okyk½ 20 feeh- ukeh; uki okyk",?ku eh-,1400-00,
0297,"iRFkj dk feykok ¼,dy uki okyk½ 10 feeh- ukeh; uki okyk",?ku eh-,1350-00,
0367,iksVZ ySaM lhesUV,Vu,5000-00,
0586,Øksfe;e eqYyek;qDr 40 fe-eh- O;kl okys ihry ds isap,lkS ux,290-00,
0588,Øksfe;e eqYyek;qDr 25 fe-eh- O;kl okys ihry ds isap,lkS ux,180-00,
0828,la{kj.k jks/kh jax ¼dkyk½,yhVj,100-00,
0834,"Laf”y’V ,usey jksxu lHkh vkHkkvksa esa dkyh vkSj pkSdysV vkHkk dks NksMdj",yhVj,165-00,
0982,eksVh jsr ¼tksuIII½,?ku eh-,1500-00,
1007,"lajpukRed tSls Vh dks.k iz.kky rFkk vkj-,l-dMh",fDoUVy,4950-00,
1309,"/kkou ik= rFkk gkSfn;ksa ds fy, ckyw <ys yksgs ds cSzdsV",tksMk,88-00,
1313,";wjksih; <ax dh tyekyk/kkj ikŸk ds fy, 8 feeh- O;kl dh lh-ih- czkl@ ,l-,l- dk tsV QsysEthoy Vq;wc 1 ehVj rd yEch rFkk ,l-,l- Vªsxqyj IysV ds lkFkA",izR;sd,200-00,
1315,Øksfe;e eqYeek;qDr ihry dh tathj vkSj 40 feeh- O;kl ds jcM+ xV~V lfgr,izR;sd,40-00,
1330,"100 feeh- ry ds fy, dySEi vkSj uje bLikr dh Vsds] dkoyksa vkSj f<ofj;ksa lfgr",izR;sd,67-50,
1331,"ckyw <ys yksgs ds 100 feeh- uy ds fy, uje bLikr dh vuqeksfnr dksfV dh tdM&iÍh",izR;sd,30-00,
1332,"Ckkyw <ys yksgs ds 75 fe-eh- uy ds fy, uje bLikr dh vuqeksfnr dksfV dh tdM&iÍh",izR;sd,27-00,
1334,"50 feeh- uy ds fy, dySEi vkSj uje bLikr dh Vsdsa] dkoyksa vkSj f<ofj;ksa lfgr",izR;sd,35-00,
1335,"75 feeh- uy ds fy, dySEi vkSj uje bLikr dh Vsdsa] dkoyksa vkSj f<ofj;ksa lfgr",izR;sd,37-00,
1350,vuqeksnfr vfHkdYi ds ePNj jksd ;qXeu,izR;sd,30-00,
1363,250x130x30 fe-eh- dk dk¡p phuh feÍh dk ik;nku,tksM+k,100-00,
1369,100 feeh- O;kl okyh ckyw <ys yksgs dh xyh ;k ukgkuh tkyh,izR;sd,25-00,
,,,01-04-2021,
,,,dks ;k mlls Bhd igys,
1637,100x100x100x100 feeh- O;kl okys igq¡p }kj ;qDr ckyw <ys yksgs ds le f}”kk[kk tksM,izR;sd,730-00,
1639,75 feeh- O;kl okys [kk¡psnkj fljk&<kih,izR;sd,215-00,
1640,100 feeh- O;kl okys [kk¡psnkj fljk&<kih,izR;sd,265-00,
1653,"100x100x75 feeh- O;kl okys ckyw <ys yksgs ds ewly vkSj dksVj lkns vle ,d “kk[kk tksM",izR;sd,525-00,
1656,"100x100x75 feeh- O;kl okys ig¡qpnkj ;qDr ckyw <ys yksgs ds ewly vkSj dksVj vle ,d “kk[kk tksM",izR;sd,575-00,
1659,100x100x75x75 feeh- O;kl okys ckyw <ys yksgs ds vle f} “kk[kk tksM,izR;sd,625-00,
1662,100x100x75x75 feeh- O;kl okys igq¡p}kjk ;qDr ckyw <ys yksgs ds vle f} “kk[kk tksM,izR;sd,725-00,
1666,"75 fe-eh- O;kl okys ckyw <ys yksgs ds ,Mh yxs vk/kkj okys eksM+",izR;sd,300-00,
1667,"100 fe-eh- O;kl okys ckyw <ys yksgs ds ,Mh yxs vk/kkj okys eksM+",izR;sd,355-00,
1669,"75x75x75 feeh- O;kl okys ckyw ds yksgs ds vko”;d dsk.k dk le ,d “kk[kk myV tksM",izR;sd,350-00,
1670,"100x100x100 feeh- O;kl okys ckyw <ys yksgs ds vko”;d dsk.k dk le ,d “kk[kk myV tksM",izR;sd,435-00,
1672,75x75x75x75 feeh- O;kl okys ckyw <ys yksgs ds vko”;d dsk.k dk le f}”kk[kk myV tksM,izR;sd,425-00,
1673,100x100x100x100 feeh- O;kl okys ckyw <ys yksgs ds vko”;d dsk.k dk le f}”kk[kk myV tksM,izR;sd,550-00,
1674,"100x100x75 feeh- O;kl okys ckyw <ys yksgs ds vko”;d dsk.k dk vle ,d “kk[kk myV tksM",izR;sd,500-00,
1677,100x100x75x75 feeh- O;kl okys ckyw <ys yksgs ds vko”;d dsk.k dk vle f}”kk[kk myV tksM,izR;sd,600-00,
1682,75 fe-eh- O;kl okys ckyw <ys yksgs ds }kj;qDr VqdMs,izR;sd,285-00,
1683,100 fe-eh- O;kl okys ckyw <ys yksgs ds }kj;qDr VqdMs,izR;sd,485-00,
1685,75 fe-eh- O;kl okys ckyw <ys yksgs ds dkWyj,izR;sd,180-00,
1686,100 fe-eh- O;kl okys ckyw <ys yksgs ds dkWyj,izR;sd,270-00,
1863,600x450x250 feeh- rkilg feÍh dh jlksbZ dh gkSnh,izR;sd,1300-00,
1871,450x300x150 feeh- dk¡p phuh feÍh dh iz;ksx”kkyk dh gkSnh,izR;sd,1500-00,
1872,600x450x250 feeh- dk¡p phuh feÍh iz;ksx”kkyk dh gkSnh,izR;sd,2500-00,
1875,lQsn IykfLVd dh lhV] ¼Bksl½ <Ddu] ihry ds Øksfe;e eqyEek;qDr dCtksa vkSj jcM dh VDdj&jksdks lfgr,izR;sd,410-00,
1876,Dkys IykflVd dh lhV] ¼Bksl½ VDdu] ihry ds Øksfe;e eqyEek;qDr,,,
,dCtksa vkSj [kM+ dh VDdj&jksdks lfgr,izR;sd,325-00,
1881,cVk lu,fd-xzk-,55-00,
1885,15 feeh- Øksfe;e eqyEek;qDr ihry dh VksVh,izR;sd,270-00,
1889,Øksfe;e eqyEek;qDr ihry dk “kkSp dkxt dk ekud uki dk fMCck,izR;sd,280-00,
,,,01-04-2021 dks ;k mlls Bhd igys,
7103,178 feeh- xgjh taxjks/kh bLikr dh jlksbZ dh gkSnh 470x420 feeh- fuFkkj r[rk ds fcuk,izR;sd,1200-00,
7104,mMhlk uewus dk 580x440 feeh- uki dk jaxhu tyey/kkj,izR;sd,1600-00,
7105,580x440 feeh- uki dk jaxhu ihfBdk ik= tyey/kkj ¼;wjksih; <ax ds½,izR;sd,850-00,
7106,10 yhVj dh jaxhu dkap phuh feÍh dh fuEury cgko Vadh,izR;sd,1000-00,
7107,;wjksih; <ax ds tyey/kkj esa dkys jax ls fHkUu jax dh Bksl ih-oh-lh- lhV,izR;sd,350-00,
7112,450 feeh- O;kl ds xksykdkj vkd‘fr okys vk/kkfjd x<r ds pkS[kV okys niZ.k,izR;sd,400-00,
7113,453x357 feeh- uki ds vk;rkdkj vkd‘fr okys IykfLVd x<r ds pkS[kVs okys niZ.k,izR;sd,290-00,
7114,450x350 feeh- uki ds v.Mkdkj vkd‘fr okyh ¼ckgjh ifjeki½ IykfLVd x<r ds pkS[kVs okys niZ.k,izR;sd,290-00,
7115,1500x450 feeh- uki ds vk;rkdkj vkd‘fr okyh IykfLVd x<r ds pkS[kVs okys niZ.k,izR;sd,670-00,
7116,6 fe-eh- eksVh dBksj iÍh,oxZ eh-,115-00,
7117,"gkSnh vkSj /kkou&ik= ds fy, 32 feeh- O;kl okyh 700 feeh ls vU;wu",,,
,yEckbZ dh v)Z vuE; ih-oh-lh- fudkl uyh] ih-oh-lh- fudkl tqMukjksa lfgr,izR;sd,25-00,
7118,"gkSnh vkSj /kkou&ik= ds fy, 40 feeh- O;kl okyh 700 feeh ls vU;wu",,,
,yEckbZ dh v)Z vuE; ih-oh-lh- fudkl uyh] ih-oh-lh- fudkl tqMukjksa lfgr,izR;sd,33-00,
7119,"gkSnh vkSj /kkou&ik= ds fy, 32 feeh- O;kl okyks 700 feeh ls vU;wu",,,
